Category,Metric,varianta_main Mean,variantb_lint_1.5g Mean,varianta_main P50,variantb_lint_1.5g P50,varianta_main P90,variantb_lint_1.5g P90,Unit
Task Path,:layer_0:module_0_115:lintAnalyzeDebug,5460,6091,5431,6042,6098,6841,ms
Task Path,:layer_1:module_1_140:compileDebugKotlin,2817,2219,2751,2211,3778,2594,ms
Task Path,:layer_1:module_1_141:compileDebugKotlin,2616,2318,2569,2185,3243,2581,ms
Task Path,:layer_1:module_1_139:compileDebugKotlin,3284,2700,3217,2728,4081,3144,ms
Task Path,:layer_1:module_1_142:compileDebugKotlin,2968,2751,2982,2747,3594,3388,ms
Task Path,:layer_1:module_1_143:compileDebugKotlin,2560,2195,2578,2047,3094,2794,ms
Task Path,:layer_0:module_0_116:lintAnalyzeDebug,5393,6138,5381,5897,6514,7688,ms
Task Path,:layer_1:module_1_144:compileDebugKotlin,2368,1965,2390,1946,2897,2401,ms
Task Path,:layer_1:module_1_145:compileDebugKotlin,2889,3083,2786,2595,3344,6065,ms
Task Path,:layer_1:module_1_146:compileDebugKotlin,2446,2576,2355,2161,3126,5219,ms
Task Path,:layer_1:module_1_147:compileDebugKotlin,2673,2429,2609,2284,3127,3353,ms
Task Path,:layer_0:module_0_117:lintAnalyzeDebug,5621,6557,5531,6300,6289,8647,ms
Task Path,:layer_1:module_1_148:compileDebugKotlin,2269,2506,2187,2260,2694,3421,ms
Task Path,:layer_1:module_1_149:compileDebugKotlin,3100,2740,3127,2613,3596,3151,ms
Task Path,:layer_1:module_1_150:compileDebugKotlin,3089,2884,3137,2803,3521,3323,ms
Task Path,:layer_1:module_1_151:compileDebugKotlin,2512,2123,2451,2132,3105,2524,ms
Task Path,:layer_1:module_1_152:compileDebugKotlin,2734,2227,2750,2276,3237,2457,ms
Task Path,:layer_1:module_1_153:compileDebugKotlin,2953,2456,2935,2423,3489,2981,ms
Task Path,:layer_0:module_0_118:lintAnalyzeDebug,5230,6471,5079,6103,6488,10060,ms
Task Path,:layer_1:module_1_154:compileDebugKotlin,2666,2287,2734,2278,3229,2796,ms
Task Path,:layer_1:module_1_155:compileDebugKotlin,2366,2193,2415,2072,2708,3648,ms
Task Path,:layer_1:module_1_156:compileDebugKotlin,2851,2463,3036,2432,3231,3612,ms
Task Path,:layer_1:module_1_157:compileDebugKotlin,2710,2361,2640,2289,3251,2958,ms
Task Path,:layer_1:module_1_158:compileDebugKotlin,2717,2470,2722,2421,3220,3596,ms
Task Path,:layer_1:module_1_159:compileDebugKotlin,2818,2118,2816,2038,3897,3245,ms
Task Path,:layer_0:module_0_119:lintAnalyzeDebug,5375,6470,5097,6299,7253,8273,ms
