Category,Metric,varianta_kotlin_2.2.0 Mean,variantb_k2_kotlin_2.2.0 Mean,varianta_kotlin_2.2.0 P50,variantb_k2_kotlin_2.2.0 P50,varianta_kotlin_2.2.0 P90,variantb_k2_kotlin_2.2.0 P90,Unit
Task Path,:layer_1:module_1_70:compileDebugKotlin,2403,2646,2340,2626,2869,3122,ms
Task Path,:layer_1:module_1_71:compileDebugKotlin,2404,2749,2331,2770,3105,3200,ms
Task Path,:layer_1:module_1_72:compileDebugKotlin,2349,2501,2329,2522,2848,2917,ms
Task Path,:layer_1:module_1_73:kspDebugKotlin,3073,3480,3161,3494,3551,4144,ms
Task Path,:layer_1:module_1_74:kspDebugKotlin,3284,3368,3265,3329,3804,3976,ms
Task Path,:layer_1:module_1_75:kspDebugKotlin,3682,3822,3682,3743,4266,4515,ms
Task Path,:layer_1:module_1_76:kspDebugKotlin,3350,3608,3385,3610,3900,4265,ms
Task Path,:layer_1:module_1_73:compileDebugKotlin,2389,2539,2383,2471,2839,3086,ms
Task Path,:layer_1:module_1_74:compileDebugKotlin,2391,2547,2272,2513,3017,3043,ms
Task Path,:layer_1:module_1_76:compileDebugKotlin,2190,2524,2097,2468,2719,3091,ms
Task Path,:layer_1:module_1_75:compileDebugKotlin,2255,2468,2215,2431,2613,3175,ms
Task Path,:layer_1:module_1_77:kspDebugKotlin,3065,3383,3000,3323,3489,4195,ms
Task Path,:layer_1:module_1_79:kspDebugKotlin,2917,3265,2853,3310,3447,3924,ms
Task Path,:layer_1:module_1_78:kspDebugKotlin,3019,3300,2955,3223,3487,4066,ms
Task Path,:layer_1:module_1_77:compileDebugKotlin,2199,2577,2150,2524,2719,3107,ms
Task Path,:layer_1:module_1_80:kspDebugKotlin,3601,4138,3558,4026,4244,4925,ms
Task Path,:layer_1:module_1_79:compileDebugKotlin,2298,2495,2196,2485,2761,3023,ms
Task Path,:layer_1:module_1_78:compileDebugKotlin,2259,2409,2203,2448,2650,2868,ms
Task Path,:layer_1:module_1_80:compileDebugKotlin,2147,2420,2101,2359,2654,2997,ms
Task Path,:layer_1:module_1_81:kspDebugKotlin,2914,3260,2842,3200,3477,3929,ms
Task Path,:layer_1:module_1_82:kspDebugKotlin,3064,3250,3039,3239,3671,4033,ms
Task Path,:layer_1:module_1_81:compileDebugKotlin,2080,2419,2039,2396,2597,2913,ms
Task Path,:layer_1:module_1_83:kspDebugKotlin,3060,3160,3023,3151,3629,3976,ms
Task Path,:layer_1:module_1_84:kspDebugKotlin,3332,3433,3319,3424,3936,4039,ms
Task Path,:layer_1:module_1_82:compileDebugKotlin,2273,2518,2244,2543,2800,2976,ms
Task Path,:layer_1:module_1_83:compileDebugKotlin,2253,2354,2166,2300,2791,2871,ms
Task Path,:layer_1:module_1_84:compileDebugKotlin,2178,2251,2141,2196,2755,2738,ms
Task Path,:layer_1:module_1_85:kspDebugKotlin,3494,3569,3449,3547,4071,4437,ms
Task Path,:layer_1:module_1_86:kspDebugKotlin,3041,3067,3009,3070,3614,3559,ms
Task Path,:layer_1:module_1_85:compileDebugKotlin,2243,2244,2213,2210,2763,2752,ms
Task Path,:layer_1:module_1_87:kspDebugKotlin,3004,2985,2941,2949,3643,3430,ms
