Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25_parallel Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25_parallel P50,varianta_gradle_9_1_0 P90,variantb_jdk_25_parallel P90,Unit
Task Path,:repository:map-contact:compileDebugKotlin,1406,1437,1312,1399,1718,1685,ms
Task Path,:repository:media-contact:compileDebugKotlin,1491,1446,1455,1414,1820,1665,ms
Task Path,:repository:news-contact:kspDebugKotlin,2405,2203,2382,2205,2960,2525,ms
Task Path,:repository:metric-contact:kspDebugKotlin,2649,2433,2643,2467,3170,2734,ms
Task Path,:repository:news-contact:compileDebugKotlin,1478,1324,1465,1320,1807,1474,ms
Task Path,:repository:metric-contact:compileDebugKotlin,1420,1312,1361,1302,1770,1534,ms
Task Path,:repository:photo-contact:kspDebugKotlin,2471,2242,2436,2242,2904,2502,ms
Task Path,:repository:note-contact:kspDebugKotlin,2721,2503,2652,2480,3297,2767,ms
Task Path,:repository:photo-contact:compileDebugKotlin,1338,1273,1331,1262,1589,1458,ms
Task Path,:repository:note-contact:compileDebugKotlin,1592,1465,1574,1443,1867,1726,ms
Task Path,:repository:task-contact:kspDebugKotlin,2259,2256,2250,2180,2682,2859,ms
Task Path,:repository:podcast-contact:kspDebugKotlin,2660,2497,2631,2514,3190,2847,ms
Task Path,:repository:task-contact:compileDebugKotlin,1416,1548,1366,1534,1639,1965,ms
Task Path,:repository:podcast-contact:compileDebugKotlin,1418,1464,1405,1367,1669,1939,ms
Task Path,:repository:timer-contact:kspDebugKotlin,2377,2492,2318,2473,2860,2882,ms
Task Path,:repository:todo-contact:kspDebugKotlin,2392,2520,2338,2540,2838,2921,ms
Task Path,:repository:todo-contact:compileDebugKotlin,1468,1389,1408,1310,1964,1878,ms
Task Path,:repository:timer-contact:compileDebugKotlin,1477,1425,1411,1344,1932,1944,ms
Task Path,:repository:video-contact:kspDebugKotlin,2661,2494,2632,2463,3313,2984,ms
Task Path,:repository:weather-contact:kspDebugKotlin,2794,2487,2784,2458,3406,2860,ms
Task Path,:repository:video-contact:compileDebugKotlin,1512,1449,1489,1423,1946,1864,ms
Task Path,:repository:weather-contact:compileDebugKotlin,1399,1314,1351,1290,1798,1615,ms
Task Path,:repository:push-login:kspDebugKotlin,2769,2504,2723,2482,3211,2849,ms
Task Path,:model:analytics-login:kspDebugKotlin,2671,2386,2655,2390,3277,2659,ms
Task Path,:repository:push-login:compileDebugKotlin,1581,1424,1535,1411,1894,1630,ms
Task Path,:model:analytics-login:compileDebugKotlin,1395,1276,1366,1248,1726,1486,ms
Task Path,:model:metric-login:kspDebugKotlin,2755,2389,2693,2437,3401,2710,ms
Task Path,:model:feed-login:kspDebugKotlin,2549,2310,2529,2277,3008,2593,ms
Task Path,:model:metric-login:compileDebugKotlin,1524,1304,1543,1271,1767,1494,ms
Task Path,:model:feed-login:compileDebugKotlin,1548,1367,1535,1296,1810,1773,ms
Task Path,:model:notification-login:kspDebugKotlin,2639,2229,2578,2206,3197,2786,ms
Task Path,:model:group-login:kspDebugKotlin,2593,2348,2552,2264,3104,2787,ms
Task Path,:model:notification-login:compileDebugKotlin,1481,1349,1431,1259,1831,1843,ms
Task Path,:model:group-login:compileDebugKotlin,1434,1372,1372,1303,1814,1832,ms
Task Path,:model:profile-login:kspDebugKotlin,2589,2473,2532,2408,3065,2911,ms
Task Path,:repository:playlist-contact:kspDebugKotlin,2556,2541,2506,2510,2972,2923,ms
Task Path,:entity:alarm-login:kspDebugKotlin,2494,2435,2488,2421,2855,3031,ms
Task Path,:model:profile-login:compileDebugKotlin,1422,1432,1331,1354,1768,1883,ms
Task Path,:repository:playlist-contact:compileDebugKotlin,1434,1340,1359,1290,1855,1810,ms
Task Path,:entity:alarm-login:compileDebugKotlin,1253,1283,1237,1227,1472,1743,ms
Task Path,:model:message-login:kspDebugKotlin,2651,2582,2638,2478,3164,3062,ms
Task Path,:model:search-login:kspDebugKotlin,2349,2281,2332,2252,2777,2548,ms
Task Path,:model:checkout-login:kspDebugKotlin,2449,2387,2401,2348,2866,2656,ms
Task Path,:model:status-login:kspDebugKotlin,2525,2450,2478,2429,2976,2718,ms
Task Path,:model:comment-login:kspDebugKotlin,2653,2569,2646,2553,3032,2771,ms
Task Path,:model:search-login:compileDebugKotlin,1361,1363,1312,1355,1696,1536,ms
Task Path,:model:checkout-login:compileDebugKotlin,1408,1329,1408,1325,1649,1553,ms
Task Path,:model:status-login:compileDebugKotlin,1513,1497,1474,1465,1725,1650,ms
Task Path,:model:comment-login:compileDebugKotlin,1425,1253,1354,1230,1839,1408,ms
Task Path,:model:network-login:kspDebugKotlin,2530,2330,2464,2303,3090,2797,ms
Task Path,:model:identity-login:kspDebugKotlin,2594,2587,2482,2451,3183,3139,ms
Task Path,:model:network-login:compileDebugKotlin,1510,1519,1425,1363,1930,1989,ms
Task Path,:model:identity-login:compileDebugKotlin,1488,1486,1422,1387,1837,2020,ms
Task Path,:model:location-login:kspDebugKotlin,2654,2670,2514,2688,3263,3049,ms
Task Path,:entity:article-login:kspDebugKotlin,2669,2426,2567,2378,3166,2852,ms
Task Path,:entity:article-login:compileDebugKotlin,1500,1544,1433,1494,1944,1958,ms
Task Path,:model:location-login:compileDebugKotlin,1489,1461,1388,1421,1949,1890,ms
Task Path,:entity:contact-identity:kspDebugKotlin,2569,2447,2505,2387,3189,2911,ms
Task Path,:model:log-login:kspDebugKotlin,2558,2388,2516,2318,3029,2780,ms
Task Path,:model:message-login:compileDebugKotlin,1485,1435,1457,1386,1891,1750,ms
Task Path,:entity:contact-identity:compileDebugKotlin,1458,1309,1354,1260,1905,1642,ms
Task Path,:model:log-login:compileDebugKotlin,1441,1312,1379,1259,1865,1748,ms
Task Path,:model:report-login:kspDebugKotlin,2614,2335,2593,2311,3185,2644,ms
Task Path,:model:report-login:compileDebugKotlin,1297,1205,1235,1200,1751,1408,ms
Task Path,:model:session-login:kspDebugKotlin,2658,2423,2623,2369,3150,2961,ms
Task Path,:model:sync-login:kspDebugKotlin,2426,2300,2409,2295,2899,2646,ms
Task Path,:model:setting-login:kspDebugKotlin,2364,2239,2271,2216,2979,2600,ms
Task Path,:model:session-login:compileDebugKotlin,1429,1277,1367,1264,1923,1449,ms
Task Path,:model:sync-login:compileDebugKotlin,1419,1359,1364,1333,1823,1681,ms
Task Path,:model:setting-login:compileDebugKotlin,1446,1346,1372,1315,1824,1595,ms
Task Path,:model:account-login:kspDebugKotlin,2483,2418,2439,2390,2932,2841,ms
Task Path,:model:post-login:kspDebugKotlin,2440,2394,2399,2318,2871,2840,ms
Task Path,:model:account-login:compileDebugKotlin,1393,1324,1337,1284,1823,1745,ms
Task Path,:model:post-login:compileDebugKotlin,1301,1270,1229,1173,1734,1748,ms
Task Path,:entity:document-login:kspDebugKotlin,2633,2616,2606,2528,3118,3155,ms
Task Path,:model:user-login:kspDebugKotlin,2490,2475,2456,2485,2938,2937,ms
Task Path,:model:share-login:kspDebugKotlin,2486,2493,2429,2409,2789,2963,ms
Task Path,:entity:document-login:compileDebugKotlin,1354,1343,1307,1252,1647,1880,ms
Task Path,:model:user-login:compileDebugKotlin,1272,1307,1242,1202,1523,1789,ms
Task Path,:entity:gallery-login:kspDebugKotlin,2689,2707,2596,2679,3183,3183,ms
