Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25 Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25 P50,varianta_gradle_9_1_0 P90,variantb_jdk_25 P90,Unit
Task Path,:feature:list:compileDebugKotlin,1876,1982,1802,2062,2376,2311,ms
Task Path,:domain:contact-contact:kspDebugKotlin,2987,3102,2930,3107,3472,3785,ms
Task Path,:feature:task:kspDebugKotlin,3118,3274,3043,3306,3638,3762,ms
Task Path,:domain:contact-contact:compileDebugKotlin,1610,1841,1602,1779,1854,2304,ms
Task Path,:feature:task:compileDebugKotlin,1699,1844,1661,1765,1980,2322,ms
Task Path,:domain:group-contact:kspDebugKotlin,2829,2962,2834,2906,3055,3425,ms
Task Path,:domain:identity-contact:kspDebugKotlin,2772,2898,2795,2836,3058,3364,ms
Task Path,:domain:location-contact:kspDebugKotlin,2726,2819,2671,2781,3146,3168,ms
Task Path,:domain:group-contact:compileDebugKotlin,1623,1709,1598,1660,1881,2082,ms
Task Path,:domain:identity-contact:compileDebugKotlin,1668,1739,1615,1702,1942,2145,ms
Task Path,:domain:feed-contact:kspDebugKotlin,2817,2832,2769,2863,3422,3263,ms
Task Path,:domain:location-contact:compileDebugKotlin,1669,1663,1615,1611,2079,2101,ms
Task Path,:domain:feed-contact:compileDebugKotlin,1748,1727,1723,1676,2078,2014,ms
Task Path,:domain:log-contact:kspDebugKotlin,2760,2881,2763,2839,3110,3299,ms
Task Path,:domain:login-contact:kspDebugKotlin,3043,3091,3022,3014,3505,3626,ms
Task Path,:domain:message-contact:kspDebugKotlin,2906,2952,2902,2819,3434,3472,ms
Task Path,:domain:log-contact:compileDebugKotlin,1792,1695,1708,1653,2269,2049,ms
Task Path,:domain:login-contact:compileDebugKotlin,1944,1881,1872,1769,2376,2348,ms
Task Path,:domain:network-contact:kspDebugKotlin,3022,3025,3026,2899,3517,3644,ms
Task Path,:domain:message-contact:compileDebugKotlin,2005,1877,1936,1875,2685,2259,ms
Task Path,:domain:network-contact:compileDebugKotlin,1989,1878,2040,1835,2560,2349,ms
Task Path,:domain:notification-contact:kspDebugKotlin,3329,3263,3307,3290,4006,4056,ms
Task Path,:domain:post-contact:kspDebugKotlin,3274,3294,3241,3292,3956,3869,ms
Task Path,:domain:profile-contact:kspDebugKotlin,2818,2983,2806,2892,3293,3592,ms
Task Path,:domain:notification-contact:compileDebugKotlin,1632,1625,1580,1562,2045,2039,ms
Task Path,:domain:profile-contact:compileDebugKotlin,1615,1661,1565,1635,1945,2010,ms
Task Path,:domain:report-contact:kspDebugKotlin,2780,2851,2791,2822,3223,3208,ms
Task Path,:domain:post-contact:compileDebugKotlin,1785,1811,1732,1760,2128,2211,ms
Task Path,:domain:search-contact:kspDebugKotlin,2761,2769,2729,2716,3222,3244,ms
Task Path,:domain:report-contact:compileDebugKotlin,1616,1694,1573,1688,1948,1997,ms
Task Path,:domain:search-contact:compileDebugKotlin,1566,1667,1535,1661,1861,1991,ms
Task Path,:domain:session-contact:kspDebugKotlin,2745,2761,2706,2742,3145,3205,ms
Task Path,:domain:setting-contact:kspDebugKotlin,2649,2773,2621,2742,3148,3254,ms
Task Path,:domain:session-contact:compileDebugKotlin,1538,1664,1489,1599,1871,2042,ms
Task Path,:domain:setting-contact:compileDebugKotlin,1541,1673,1525,1578,1750,2199,ms
Task Path,:domain:share-contact:kspDebugKotlin,2563,2735,2561,2670,2903,3260,ms
Task Path,:domain:status-contact:kspDebugKotlin,2613,2691,2614,2622,2955,3489,ms
Task Path,:domain:share-contact:compileDebugKotlin,1569,1561,1499,1503,2092,1950,ms
Task Path,:domain:status-contact:compileDebugKotlin,1719,1610,1700,1547,2149,1989,ms
Task Path,:domain:sync-contact:kspDebugKotlin,2982,2946,2907,2866,3510,3598,ms
Task Path,:domain:user-contact:kspDebugKotlin,3204,3086,3200,3012,3877,3709,ms
Task Path,:domain:sync-contact:compileDebugKotlin,2017,1899,1988,1845,2429,2347,ms
Task Path,:domain:user-contact:compileDebugKotlin,1801,1752,1721,1643,2315,2252,ms
Task Path,:repository:audio-contact:kspDebugKotlin,3032,2900,3063,2858,3569,3442,ms
Task Path,:repository:forecast-contact:kspDebugKotlin,2569,2651,2445,2623,3151,3346,ms
Task Path,:repository:audio-contact:compileDebugKotlin,1464,1504,1394,1437,1904,1898,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,2759,2700,2789,2618,3360,3229,ms
Task Path,:repository:article-contact:kspDebugKotlin,2508,2517,2458,2500,2879,2890,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,2728,2679,2692,2695,3155,3098,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,1442,1466,1412,1412,1796,1768,ms
Task Path,:repository:contact-login:kspDebugKotlin,2685,2647,2579,2606,3288,3148,ms
Task Path,:repository:article-contact:compileDebugKotlin,1456,1480,1462,1486,1809,1741,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,1552,1548,1517,1536,1856,1815,ms
Task Path,:repository:document-contact:kspDebugKotlin,2262,2212,2249,2185,2632,2533,ms
Task Path,:repository:contact-login:compileDebugKotlin,1381,1468,1367,1451,1671,1808,ms
Task Path,:repository:event-contact:kspDebugKotlin,2218,2278,2248,2243,2501,2633,ms
Task Path,:repository:file-contact:kspDebugKotlin,2316,2364,2288,2310,2600,2712,ms
Task Path,:repository:document-contact:compileDebugKotlin,1460,1443,1438,1384,1710,1796,ms
Task Path,:repository:forecast-contact:compileDebugKotlin,1319,1403,1322,1346,1506,1807,ms
Task Path,:repository:event-contact:compileDebugKotlin,1424,1425,1369,1397,1737,1600,ms
Task Path,:repository:file-contact:compileDebugKotlin,1366,1432,1323,1378,1607,1827,ms
Task Path,:repository:gallery-contact:kspDebugKotlin,2168,2475,2150,2381,2584,3097,ms
Task Path,:repository:list-contact:kspDebugKotlin,2498,2633,2516,2576,2925,3217,ms
Task Path,:repository:gallery-contact:compileDebugKotlin,1458,1534,1398,1434,1908,2147,ms
Task Path,:repository:list-contact:compileDebugKotlin,1586,1701,1485,1705,2086,2229,ms
Task Path,:repository:map-contact:kspDebugKotlin,2666,2743,2619,2727,3133,3341,ms
Task Path,:repository:media-contact:kspDebugKotlin,2919,2954,2923,2985,3599,3677,ms
Task Path,:repository:map-contact:compileDebugKotlin,1486,1545,1378,1495,1868,2032,ms
Task Path,:repository:media-contact:compileDebugKotlin,1514,1521,1450,1491,1840,1808,ms
Task Path,:repository:news-contact:kspDebugKotlin,2411,2335,2339,2311,2816,2697,ms
Task Path,:repository:metric-contact:kspDebugKotlin,2624,2562,2555,2523,3086,3191,ms
Task Path,:repository:news-contact:compileDebugKotlin,1502,1309,1417,1302,1911,1509,ms
Task Path,:repository:metric-contact:compileDebugKotlin,1420,1344,1330,1308,1786,1641,ms
Task Path,:repository:photo-contact:kspDebugKotlin,2452,2257,2394,2222,2921,2598,ms
Task Path,:repository:note-contact:kspDebugKotlin,2694,2521,2665,2466,3233,2898,ms
Task Path,:repository:photo-contact:compileDebugKotlin,1355,1263,1298,1248,1706,1500,ms
Task Path,:repository:note-contact:compileDebugKotlin,1598,1472,1515,1437,1960,1648,ms
Task Path,:repository:podcast-contact:kspDebugKotlin,2694,2497,2624,2496,3211,2955,ms
Task Path,:repository:task-contact:kspDebugKotlin,2325,2352,2266,2303,2763,2882,ms
Task Path,:repository:task-contact:compileDebugKotlin,1374,1622,1325,1529,1660,2138,ms
Task Path,:repository:podcast-contact:compileDebugKotlin,1384,1578,1341,1447,1737,2157,ms
Task Path,:repository:timer-contact:kspDebugKotlin,2322,2554,2268,2512,2735,3109,ms
Task Path,:repository:todo-contact:kspDebugKotlin,2359,2662,2260,2681,2917,3221,ms
Task Path,:repository:todo-contact:compileDebugKotlin,1419,1529,1334,1477,1862,2056,ms
Task Path,:repository:timer-contact:compileDebugKotlin,1449,1580,1370,1506,1899,2066,ms
Task Path,:repository:video-contact:kspDebugKotlin,2573,2671,2515,2684,3124,3280,ms
Task Path,:repository:weather-contact:kspDebugKotlin,2784,2725,2747,2693,3326,3178,ms
Task Path,:repository:video-contact:compileDebugKotlin,1630,1497,1584,1453,2066,1877,ms
Task Path,:repository:weather-contact:compileDebugKotlin,1445,1328,1412,1322,1722,1566,ms
Task Path,:repository:push-login:kspDebugKotlin,2772,2674,2740,2689,3225,3015,ms
Task Path,:model:analytics-login:kspDebugKotlin,2563,2566,2538,2548,2952,3019,ms
Task Path,:repository:push-login:compileDebugKotlin,1608,1511,1574,1488,1914,1866,ms
Task Path,:model:analytics-login:compileDebugKotlin,1442,1394,1475,1368,1634,1690,ms
Task Path,:model:metric-login:kspDebugKotlin,2791,2602,2726,2575,3306,3085,ms
Task Path,:model:feed-login:kspDebugKotlin,2655,2528,2674,2504,3067,2973,ms
Task Path,:model:metric-login:compileDebugKotlin,1575,1553,1530,1459,1902,1958,ms
Task Path,:model:feed-login:compileDebugKotlin,1520,1468,1488,1440,1732,1743,ms
Task Path,:model:notification-login:kspDebugKotlin,2695,2544,2618,2438,3198,3163,ms
Task Path,:model:group-login:kspDebugKotlin,2603,2503,2607,2510,2923,3057,ms
Task Path,:model:notification-login:compileDebugKotlin,1374,1391,1355,1385,1634,1706,ms
Task Path,:model:group-login:compileDebugKotlin,1329,1449,1277,1393,1572,1776,ms
Task Path,:model:profile-login:kspDebugKotlin,2472,2559,2452,2508,2892,3195,ms
Task Path,:repository:playlist-contact:kspDebugKotlin,2364,2625,2321,2653,2734,3012,ms
Task Path,:entity:alarm-login:kspDebugKotlin,2378,2648,2347,2663,2788,3158,ms
Task Path,:model:profile-login:compileDebugKotlin,1426,1520,1362,1427,1857,1941,ms
Task Path,:repository:playlist-contact:compileDebugKotlin,1415,1520,1377,1382,1797,2097,ms
Task Path,:entity:alarm-login:compileDebugKotlin,1290,1317,1254,1275,1729,1732,ms
Task Path,:model:message-login:kspDebugKotlin,2625,2710,2537,2676,3138,3240,ms
Task Path,:model:search-login:kspDebugKotlin,2501,2354,2431,2285,3062,2901,ms
Task Path,:model:status-login:kspDebugKotlin,2710,2572,2683,2500,3226,2940,ms
