Category,Metric,varianta_gradle_9_2_0 Mean,variantb_gradle_9_1_0 Mean,varianta_gradle_9_2_0 P50,variantb_gradle_9_1_0 P50,varianta_gradle_9_2_0 P90,variantb_gradle_9_1_0 P90,Unit
Task Path,:feature:document:kspDebugKotlin,3263,3215,3248,3239,3889,3753,ms
Task Path,:feature:file:kspDebugKotlin,3175,3075,3189,3086,3757,3466,ms
Task Path,:feature:checkout-contact:compileDebugKotlin,2151,2056,2133,2033,2638,2477,ms
Task Path,:feature:document:compileDebugKotlin,2076,2018,2110,1998,2495,2489,ms
Task Path,:feature:identity-contact:kspDebugKotlin,2976,2955,2964,2947,3567,3511,ms
Task Path,:feature:file:compileDebugKotlin,1745,1687,1676,1641,2283,2158,ms
Task Path,:feature:identity-contact:compileDebugKotlin,1641,1624,1629,1558,2012,1965,ms
Task Path,:feature:list:kspDebugKotlin,2871,2818,2868,2778,3389,3319,ms
Task Path,:feature:map:kspDebugKotlin,2794,2762,2738,2700,3258,3368,ms
Task Path,:feature:note:kspDebugKotlin,2775,2685,2738,2667,3266,3039,ms
Task Path,:feature:list:compileDebugKotlin,1710,1630,1705,1583,1957,1947,ms
Task Path,:feature:podcast:kspDebugKotlin,2797,2732,2831,2663,3156,3143,ms
Task Path,:feature:map:compileDebugKotlin,1545,1526,1525,1503,1852,1920,ms
Task Path,:feature:note:compileDebugKotlin,1813,1862,1730,1857,2227,2211,ms
Task Path,:feature:podcast:compileDebugKotlin,1925,1957,1884,1851,2356,2608,ms
Task Path,:feature:push-contact:kspDebugKotlin,3009,3034,2966,3029,3526,3711,ms
Task Path,:feature:weather:kspDebugKotlin,3233,3250,3121,3189,4088,4050,ms
Task Path,:feature:push-contact:compileDebugKotlin,1994,2052,1984,2027,2683,2651,ms
Task Path,:domain:event-contact:kspDebugKotlin,3212,3285,3204,3183,3879,3958,ms
Task Path,:feature:weather:compileDebugKotlin,1887,2029,1833,2063,2370,2568,ms
Task Path,:domain:map-contact:kspDebugKotlin,2928,2842,2884,2794,3609,3256,ms
Task Path,:domain:alarm-contact:kspDebugKotlin,3197,3221,3190,3164,3789,4032,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,3054,3136,3043,3009,3640,4012,ms
