Category,Metric,varianta_main Mean,variantb_UseCompactObjectHeaders Mean,varianta_main P50,variantb_UseCompactObjectHeaders P50,varianta_main P90,variantb_UseCompactObjectHeaders P90,Unit
Task Path,:feature:timer-contact:kspDebugKotlin,1455,1498,1420,1483,1842,1879,ms
Task Path,:feature:todo-contact:kspDebugKotlin,1877,1864,1848,1858,2360,2281,ms
Task Path,:feature:video-contact:kspDebugKotlin,1407,1470,1381,1414,1753,1932,ms
Task Path,:feature:user-login:kspDebugKotlin,1882,1886,1881,1812,2358,2375,ms
Task Path,:feature:timer-contact:compileDebugKotlin,2628,2576,2526,2601,3193,3046,ms
Task Path,:feature:todo-contact:compileDebugKotlin,2824,2612,2741,2484,3511,3238,ms
Task Path,:feature:video-contact:compileDebugKotlin,2711,2673,2647,2662,3436,3340,ms
Task Path,:feature:user-login:compileDebugKotlin,2784,2696,2801,2652,3369,3420,ms
Task Path,:domain:account-identity:kspDebugKotlin,1654,1703,1712,1655,2000,2364,ms
Task Path,:feature:contact-login:kspDebugKotlin,1947,2009,1961,1953,2388,2480,ms
Task Path,:feature:account-contact:kspDebugKotlin,1916,1928,1841,1887,2344,2439,ms
Task Path,:feature:post-login:kspDebugKotlin,1526,1559,1480,1501,1818,1967,ms
Task Path,:domain:account-identity:compileDebugKotlin,2704,2714,2759,2657,3170,3359,ms
Task Path,:feature:post-login:compileDebugKotlin,2781,2761,2719,2658,3278,3369,ms
Task Path,:feature:contact-login:compileDebugKotlin,2810,2769,2757,2730,3471,3582,ms
Task Path,:feature:account-contact:compileDebugKotlin,2631,2650,2505,2550,3416,3286,ms
Task Path,:feature:share-login:kspDebugKotlin,1391,1410,1388,1427,1802,1865,ms
Task Path,:feature:weather-contact:kspDebugKotlin,1353,1376,1380,1321,1857,1864,ms
Task Path,:feature:network-contact:kspDebugKotlin,1616,1552,1556,1513,2308,1874,ms
Task Path,:feature:comment-login:kspDebugKotlin,1521,1494,1441,1438,2060,1995,ms
Task Path,:feature:share-login:compileDebugKotlin,2421,2515,2367,2385,2968,3469,ms
Task Path,:feature:weather-contact:compileDebugKotlin,2504,2516,2378,2531,3103,3272,ms
Task Path,:feature:notification-contact:kspDebugKotlin,1545,1421,1486,1429,1967,1691,ms
Task Path,:feature:comment-login:compileDebugKotlin,2664,2601,2603,2547,3226,3080,ms
Task Path,:feature:network-contact:compileDebugKotlin,2702,2514,2499,2451,3591,3241,ms
Task Path,:domain:alarm-identity:kspDebugKotlin,1350,1240,1302,1285,1762,1546,ms
Task Path,:feature:notification-contact:compileDebugKotlin,2654,2515,2649,2493,3173,3027,ms
Task Path,:feature:account-login:kspDebugKotlin,1537,1361,1492,1341,1921,1679,ms
