Category,Metric,varianta_9.3.1 Mean,variantb_9.4.0-rc-1 Mean,varianta_9.3.1 P50,variantb_9.4.0-rc-1 P50,varianta_9.3.1 P90,variantb_9.4.0-rc-1 P90,Unit
Task Path,:repository:photo-contact:compileDebugKotlin,2273,2267,2163,2157,2934,2863,ms
Task Path,:repository:notification-contact:compileDebugKotlin,2243,2279,2187,2279,2701,2706,ms
Task Path,:repository:playlist-contact:kspDebugKotlin,2857,2903,2832,2828,3455,3521,ms
Task Path,:repository:podcast-contact:kspDebugKotlin,3156,3157,3137,3151,3656,3685,ms
Task Path,:repository:profile-contact:kspDebugKotlin,3162,3202,3120,3105,3821,3613,ms
Task Path,:repository:post-contact:kspDebugKotlin,3752,3730,3700,3738,4384,4185,ms
Task Path,:repository:playlist-contact:compileDebugKotlin,2101,2096,2062,2072,2608,2576,ms
Task Path,:repository:podcast-contact:compileDebugKotlin,2266,2231,2188,2152,2949,2825,ms
Task Path,:repository:profile-contact:compileDebugKotlin,2328,2284,2274,2293,2879,2707,ms
Task Path,:repository:post-contact:compileDebugKotlin,2121,2068,2090,2042,2614,2431,ms
Task Path,:repository:push-login:kspDebugKotlin,2898,3028,2830,3036,3552,3488,ms
Task Path,:repository:push-login:compileDebugKotlin,2158,2169,2114,2119,2597,2686,ms
Task Path,:repository:report-contact:kspDebugKotlin,3007,3081,2950,3049,3624,3725,ms
Task Path,:repository:search-contact:kspDebugKotlin,3079,3014,3022,2952,3764,3469,ms
Task Path,:repository:session-contact:kspDebugKotlin,3117,3033,3086,2955,3724,3687,ms
Task Path,:repository:search-contact:compileDebugKotlin,2166,2118,2163,2067,2593,2610,ms
Task Path,:repository:session-contact:compileDebugKotlin,2167,2185,2177,2145,2572,2700,ms
Task Path,:repository:report-contact:compileDebugKotlin,2181,2145,2136,2080,2626,2657,ms
Task Path,:repository:setting-contact:kspDebugKotlin,2871,2885,2808,2798,3318,3454,ms
Task Path,:repository:setting-contact:compileDebugKotlin,1982,2049,1972,2036,2334,2462,ms
Task Path,:repository:share-contact:kspDebugKotlin,3349,3461,3332,3502,3930,4079,ms
Task Path,:repository:status-contact:kspDebugKotlin,3471,3585,3448,3578,3926,4208,ms
Task Path,:repository:sync-contact:kspDebugKotlin,3140,3248,3092,3201,3686,3904,ms
Task Path,:repository:task-contact:kspDebugKotlin,2914,2961,2877,2931,3658,3689,ms
Task Path,:repository:sync-contact:compileDebugKotlin,2104,2146,2043,2105,2601,2722,ms
Task Path,:repository:status-contact:compileDebugKotlin,2119,2199,2068,2149,2629,2607,ms
Task Path,:repository:share-contact:compileDebugKotlin,2110,2078,2092,2030,2610,2589,ms
Task Path,:repository:task-contact:compileDebugKotlin,1957,2052,1969,1996,2449,2537,ms
Task Path,:repository:timer-contact:kspDebugKotlin,2819,2955,2763,2925,3359,3536,ms
Task Path,:repository:user-contact:kspDebugKotlin,3007,3068,2983,3029,3579,3592,ms
Task Path,:repository:video-contact:kspDebugKotlin,2948,3130,2911,3059,3557,3700,ms
Task Path,:repository:todo-contact:kspDebugKotlin,3391,3448,3284,3425,4091,4065,ms
Task Path,:repository:timer-contact:compileDebugKotlin,2050,2081,2020,2010,2432,2582,ms
Task Path,:repository:user-contact:compileDebugKotlin,1961,1941,1944,1905,2272,2389,ms
Task Path,:repository:todo-contact:compileDebugKotlin,2058,2075,2019,2066,2423,2503,ms
Task Path,:repository:video-contact:compileDebugKotlin,2170,2135,2146,2077,2604,2635,ms
Task Path,:repository:weather-contact:kspDebugKotlin,3000,3165,2949,3080,3478,3741,ms
Task Path,:repository:weather-contact:compileDebugKotlin,2056,2112,2042,2044,2369,2615,ms
Task Path,:model:contact-login:kspDebugKotlin,3437,3300,3529,3480,4048,4009,ms
Task Path,:model:contact-login:compileDebugKotlin,1949,1879,1814,1714,2576,2424,ms
Task Path,:entity:identity-login:kspDebugKotlin,2757,2741,2739,2691,3224,3154,ms
Task Path,:entity:checkout-login:kspDebugKotlin,2667,2674,2583,2658,3174,3027,ms
