Category,Metric,varianta_2.2.20 Mean,variantb_2.3.0-beta2 Mean,varianta_2.2.20 P50,variantb_2.3.0-beta2 P50,varianta_2.2.20 P90,variantb_2.3.0-beta2 P90,Unit
Task Path,:model:checkout-login:compileDebugKotlin,1697,1720,1665,1633,2023,2108,ms
Task Path,:repository:document-contact:compileDebugKotlin,1795,1789,1760,1755,2123,2063,ms
Task Path,:repository:event-contact:kspDebugKotlin,3000,2981,2992,2930,3426,3429,ms
Task Path,:repository:file-contact:kspDebugKotlin,3050,2914,2915,3015,3982,3328,ms
Task Path,:repository:list-contact:kspDebugKotlin,3022,2889,2919,2902,3695,3390,ms
Task Path,:repository:event-contact:compileDebugKotlin,1892,1791,1833,1677,2270,2145,ms
Task Path,:repository:file-contact:compileDebugKotlin,1803,1860,1745,1827,2277,2249,ms
Task Path,:repository:media-contact:kspDebugKotlin,3108,3071,3047,3165,3707,3760,ms
Task Path,:repository:list-contact:compileDebugKotlin,1728,1742,1678,1762,2238,2027,ms
Task Path,:repository:media-contact:compileDebugKotlin,1806,1777,1746,1726,2165,2155,ms
Task Path,:repository:playlist-contact:kspDebugKotlin,3069,3029,3006,2986,3488,3552,ms
Task Path,:repository:news-contact:kspDebugKotlin,3534,3533,3424,3512,4189,4251,ms
Task Path,:repository:push-login:kspDebugKotlin,3106,2975,3020,2879,3584,3549,ms
Task Path,:repository:task-contact:kspDebugKotlin,3160,2887,3171,2851,3690,3306,ms
Task Path,:repository:news-contact:compileDebugKotlin,1856,1797,1860,1816,2398,2141,ms
Task Path,:repository:playlist-contact:compileDebugKotlin,1964,1906,1945,1864,2298,2209,ms
Task Path,:repository:push-login:compileDebugKotlin,1772,1725,1727,1679,2171,2045,ms
Task Path,:repository:task-contact:compileDebugKotlin,1867,1759,1811,1719,2161,2065,ms
Task Path,:model:comment-login:kspDebugKotlin,3128,3202,3145,3157,3502,3905,ms
Task Path,:model:feed-login:kspDebugKotlin,2775,2851,2812,2814,3143,3372,ms
