Category,Metric,varianta_2.2.21 Mean,variantb_2.3.0 Mean,varianta_2.2.21 P50,variantb_2.3.0 P50,varianta_2.2.21 P90,variantb_2.3.0 P90,Unit
Task Path,:domain:media-contact:compileDebugKotlin,2253,2224,2212,2226,2719,2575,ms
Task Path,:domain:metric-contact:kspDebugKotlin,3501,3519,3460,3435,4022,4019,ms
Task Path,:domain:news-contact:kspDebugKotlin,4191,4121,4134,4086,4824,4680,ms
Task Path,:domain:metric-contact:compileDebugKotlin,1753,1683,1716,1684,2185,1960,ms
Task Path,:domain:note-contact:kspDebugKotlin,3413,3322,3351,3211,4014,3931,ms
Task Path,:domain:photo-contact:kspDebugKotlin,3882,3794,3809,3773,4339,4511,ms
Task Path,:domain:news-contact:compileDebugKotlin,2726,2720,2667,2721,3103,3252,ms
Task Path,:domain:note-contact:compileDebugKotlin,1785,1733,1762,1701,2056,2006,ms
Task Path,:domain:playlist-contact:kspDebugKotlin,3869,3818,3843,3791,4466,4509,ms
Task Path,:domain:photo-contact:compileDebugKotlin,3332,3388,3308,3348,3770,3962,ms
Task Path,:domain:podcast-contact:kspDebugKotlin,3620,3510,3549,3446,4235,4196,ms
Task Path,:domain:push-login:kspDebugKotlin,3387,3266,3342,3236,3980,3709,ms
Task Path,:domain:playlist-contact:compileDebugKotlin,3397,3375,3357,3340,3895,3900,ms
Task Path,:domain:podcast-contact:compileDebugKotlin,1801,1818,1774,1815,2153,2135,ms
Task Path,:domain:push-login:compileDebugKotlin,1596,1647,1574,1645,1790,1907,ms
Task Path,:domain:report-contact:kspDebugKotlin,3613,3500,3535,3373,4163,4047,ms
Task Path,:domain:session-contact:kspDebugKotlin,4225,4046,4234,4097,4737,4576,ms
Task Path,:domain:report-contact:compileDebugKotlin,3433,3374,3321,3279,4238,4068,ms
Task Path,:domain:setting-contact:kspDebugKotlin,4175,4017,4148,4047,4690,4410,ms
Task Path,:domain:status-contact:kspDebugKotlin,4900,4806,4822,4754,5661,5425,ms
Task Path,:domain:session-contact:compileDebugKotlin,4449,4591,4400,4592,5225,5295,ms
Task Path,:domain:task-contact:kspDebugKotlin,3817,3758,3570,3724,4835,4445,ms
Task Path,:domain:setting-contact:compileDebugKotlin,4034,4056,3962,4012,4718,4875,ms
Task Path,:domain:status-contact:compileDebugKotlin,3849,3952,3816,3909,4408,4527,ms
Task Path,:domain:task-contact:compileDebugKotlin,3673,3610,3606,3573,4228,4147,ms
Task Path,:domain:timer-contact:kspDebugKotlin,3624,3627,3634,3541,4038,4235,ms
Task Path,:domain:todo-contact:kspDebugKotlin,4216,4203,4217,4213,4711,4735,ms
Task Path,:domain:video-contact:kspDebugKotlin,4056,3982,4089,3979,4589,4523,ms
Task Path,:domain:timer-contact:compileDebugKotlin,2929,2987,2987,2885,3515,3628,ms
Task Path,:domain:weather-contact:kspDebugKotlin,3793,3730,3804,3702,4523,4405,ms
Task Path,:domain:todo-contact:compileDebugKotlin,2934,2935,2836,2890,3484,3437,ms
Task Path,:domain:video-contact:compileDebugKotlin,3628,3577,3537,3569,4128,4158,ms
Task Path,:domain:weather-contact:compileDebugKotlin,2982,2935,2983,2919,3433,3315,ms
Task Path,:repository:alarm-login:kspDebugKotlin,3444,3396,3391,3453,3918,3843,ms
Task Path,:repository:alarm-login:compileDebugKotlin,2470,2417,2411,2410,2906,2736,ms
Task Path,:repository:list-login:kspDebugKotlin,4086,4029,4114,4026,4827,4656,ms
Task Path,:repository:group-login:kspDebugKotlin,4284,4248,4278,4284,4834,5034,ms
Task Path,:repository:analytics-login:kspDebugKotlin,3776,3721,3703,3622,4389,4504,ms
Task Path,:repository:analytics-login:compileDebugKotlin,3318,3423,3305,3387,3898,4050,ms
Task Path,:repository:comment-login:kspDebugKotlin,4002,3939,3967,4030,4518,4465,ms
Task Path,:repository:cart-login:kspDebugKotlin,4243,4114,4283,4169,4690,4570,ms
Task Path,:repository:document-login:kspDebugKotlin,4159,4067,4087,4055,4850,4683,ms
Task Path,:repository:comment-login:compileDebugKotlin,2643,2698,2629,2677,3289,3134,ms
Task Path,:repository:document-login:compileDebugKotlin,2793,2803,2767,2811,3374,3308,ms
Task Path,:repository:cart-login:compileDebugKotlin,3422,3439,3375,3433,3893,3855,ms
Task Path,:repository:event-login:kspDebugKotlin,4050,4007,4041,3971,4452,4580,ms
Task Path,:repository:feed-login:kspDebugKotlin,3208,3154,3191,3178,3577,3530,ms
Task Path,:repository:file-login:kspDebugKotlin,3246,3254,3201,3242,3602,3708,ms
Task Path,:repository:group-login:compileDebugKotlin,2930,2956,2892,2958,3282,3409,ms
Task Path,:repository:event-login:compileDebugKotlin,3726,3820,3692,3775,4330,4466,ms
Task Path,:repository:feed-login:compileDebugKotlin,1796,1900,1805,1874,2059,2316,ms
Task Path,:repository:file-login:compileDebugKotlin,1787,1864,1766,1845,2065,2276,ms
Task Path,:repository:list-login:compileDebugKotlin,2281,2250,2266,2197,2714,2772,ms
Task Path,:repository:location-login:kspDebugKotlin,3394,3304,3330,3290,3988,3976,ms
Task Path,:repository:map-login:kspDebugKotlin,3524,3439,3493,3453,4036,3928,ms
Task Path,:repository:log-login:kspDebugKotlin,4037,3854,4042,3799,4588,4334,ms
