Category,Metric,varianta_8.14.2 Mean,variantb_9.0.0-rc3 Mean,varianta_8.14.2 P50,variantb_9.0.0-rc3 P50,varianta_8.14.2 P90,variantb_9.0.0-rc3 P90,Unit
Task Path,:layer_0:module_0_21:kspDebugKotlin,3868,3826,3862,3820,4291,4188,ms
Task Path,:layer_0:module_0_22:kspDebugKotlin,3543,3491,3497,3490,4002,3736,ms
Task Path,:layer_0:module_0_23:kspDebugKotlin,3263,3250,3182,3237,3619,3619,ms
Task Path,:layer_0:module_0_20:compileDebugKotlin,6071,5898,6042,5835,6905,6758,ms
Task Path,:layer_0:module_0_23:compileDebugKotlin,2683,2755,2668,2740,3259,3168,ms
Task Path,:layer_0:module_0_22:compileDebugKotlin,4163,4106,4156,4142,4797,4517,ms
Task Path,:layer_0:module_0_21:compileDebugKotlin,5428,5431,5359,5377,6128,6074,ms
Task Path,:layer_0:module_0_24:kspDebugKotlin,4054,4263,3947,4343,4861,5203,ms
Task Path,:layer_0:module_0_25:kspDebugKotlin,3590,3681,3526,3685,4050,4041,ms
Task Path,:layer_0:module_0_25:compileDebugKotlin,2438,2435,2460,2408,2833,2824,ms
Task Path,:layer_0:module_0_26:kspDebugKotlin,3422,3444,3340,3410,3853,3827,ms
Task Path,:layer_0:module_0_27:kspDebugKotlin,3585,3614,3556,3552,3899,4085,ms
Task Path,:layer_0:module_0_24:compileDebugKotlin,5202,5267,5180,5190,5853,5998,ms
Task Path,:layer_0:module_0_26:compileDebugKotlin,4005,3928,4014,3970,4571,4383,ms
Task Path,:layer_0:module_0_28:kspDebugKotlin,3670,3772,3766,3885,4078,4181,ms
Task Path,:layer_0:module_0_27:compileDebugKotlin,4615,4686,4526,4691,5230,5302,ms
Task Path,:layer_0:module_0_29:kspDebugKotlin,3145,3237,3150,3261,3492,3615,ms
Task Path,:layer_0:module_0_29:compileDebugKotlin,2522,2559,2379,2576,3037,2960,ms
Task Path,:layer_0:module_0_28:compileDebugKotlin,3990,4043,3951,4082,4578,4638,ms
Task Path,:layer_0:module_0_3:kspDebugKotlin,3801,3823,3735,3795,4476,4349,ms
Task Path,:layer_0:module_0_30:kspDebugKotlin,4344,4416,4347,4401,4863,5028,ms
Task Path,:layer_0:module_0_31:kspDebugKotlin,3798,3849,3818,3800,4133,4560,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,3625,3573,3500,3487,4269,4105,ms
Task Path,:layer_0:module_0_3:compileDebugKotlin,4356,4279,4330,4251,4998,5030,ms
Task Path,:layer_0:module_0_32:kspDebugKotlin,3667,3730,3691,3712,4070,4104,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,4521,4431,4463,4267,5177,5218,ms
Task Path,:layer_0:module_0_34:kspDebugKotlin,3057,3019,3007,2999,3399,3334,ms
Task Path,:layer_0:module_0_33:kspDebugKotlin,3760,3733,3714,3748,4093,4158,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,3543,3514,3400,3476,4225,4058,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,1677,1686,1620,1615,2003,2052,ms
Task Path,:layer_0:module_0_35:kspDebugKotlin,3612,3540,3544,3573,4158,3958,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,4181,4094,4079,4027,4720,4538,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,2072,1964,2006,1878,2878,2591,ms
Task Path,:layer_0:module_0_36:kspDebugKotlin,3504,3501,3413,3489,4126,3908,ms
Task Path,:layer_0:module_0_37:kspDebugKotlin,3697,3735,3589,3665,4225,4415,ms
Task Path,:layer_0:module_0_39:kspDebugKotlin,3140,3108,3058,3114,3548,3437,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,3141,3095,3115,3072,3913,3530,ms
Task Path,:layer_0:module_0_38:kspDebugKotlin,3801,3797,3796,3780,4254,4254,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,4280,4143,4191,4126,5038,4617,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,1832,1838,1802,1817,2186,2147,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,4087,4062,4022,4042,4642,4543,ms
Task Path,:layer_0:module_0_4:kspDebugKotlin,3427,3423,3380,3408,3878,3938,ms
Task Path,:layer_0:module_0_41:kspDebugKotlin,2962,2978,2984,2976,3307,3361,ms
Task Path,:layer_0:module_0_40:kspDebugKotlin,3538,3512,3607,3543,3933,3870,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,1608,1614,1594,1587,1943,1886,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,2157,2097,2081,2048,2613,2531,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,2478,2424,2504,2391,2776,2748,ms
Task Path,:layer_0:module_0_42:kspDebugKotlin,2935,2960,2924,2934,3304,3298,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,2043,2021,1960,1991,2540,2291,ms
Task Path,:layer_0:module_0_44:kspDebugKotlin,3271,3325,3229,3309,3921,3818,ms
Task Path,:layer_0:module_0_43:kspDebugKotlin,3245,3259,3122,3222,3755,3664,ms
Task Path,:layer_0:module_0_45:kspDebugKotlin,3866,3882,3898,3905,4370,4310,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,2492,2418,2454,2401,2902,2966,ms
Task Path,:layer_0:module_0_46:kspDebugKotlin,3497,3500,3459,3488,4022,3979,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2370,2359,2350,2316,2613,2778,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,3610,3445,3570,3414,4256,3908,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2876,2813,2844,2854,3318,3113,ms
Task Path,:layer_0:module_0_47:kspDebugKotlin,3224,3185,3254,3176,3715,3528,ms
Task Path,:layer_0:module_0_48:kspDebugKotlin,3307,3178,3283,3179,3657,3487,ms
Task Path,:layer_0:module_0_49:kspDebugKotlin,3382,3313,3319,3320,3847,3602,ms
Task Path,:layer_0:module_0_5:kspDebugKotlin,3743,3786,3734,3777,4172,4083,ms
Task Path,:layer_0:module_0_48:compileDebugKotlin,2445,2382,2408,2386,2847,2623,ms
Task Path,:layer_0:module_0_47:compileDebugKotlin,2785,2615,2780,2618,3097,2918,ms
Task Path,:layer_0:module_0_49:compileDebugKotlin,3337,3304,3312,3286,3722,3713,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,3241,3188,3212,3171,3807,3543,ms
Task Path,:layer_0:module_0_50:kspDebugKotlin,3474,3480,3442,3450,3912,4077,ms
Task Path,:layer_0:module_0_51:kspDebugKotlin,3343,3344,3295,3265,3925,3994,ms
Task Path,:layer_0:module_0_50:compileDebugKotlin,1734,1676,1685,1629,1979,2054,ms
Task Path,:layer_0:module_0_52:kspDebugKotlin,3693,3712,3671,3695,4328,4180,ms
Task Path,:layer_0:module_0_53:kspDebugKotlin,3544,3512,3509,3472,4161,4037,ms
Task Path,:layer_0:module_0_51:compileDebugKotlin,3207,3245,3214,3293,3586,3582,ms
Task Path,:layer_0:module_0_54:kspDebugKotlin,3125,3089,3082,3074,3549,3406,ms
Task Path,:layer_0:module_0_52:compileDebugKotlin,3673,3747,3619,3643,4190,4504,ms
Task Path,:layer_0:module_0_53:compileDebugKotlin,3456,3512,3403,3475,3878,3975,ms
Task Path,:layer_0:module_0_54:compileDebugKotlin,1894,1889,1864,1848,2260,2207,ms
Task Path,:layer_0:module_0_55:kspDebugKotlin,3482,3517,3503,3576,3923,3918,ms
Task Path,:layer_0:module_0_55:compileDebugKotlin,2039,1981,1954,1920,2536,2369,ms
Task Path,:layer_0:module_0_56:kspDebugKotlin,3193,3142,3191,3156,3832,3564,ms
Task Path,:layer_0:module_0_57:kspDebugKotlin,3214,3245,3185,3218,3699,3525,ms
Task Path,:layer_0:module_0_58:kspDebugKotlin,3341,3382,3264,3367,3841,3715,ms
Task Path,:layer_0:module_0_56:compileDebugKotlin,3329,3193,3240,3161,3982,3710,ms
Task Path,:layer_0:module_0_59:kspDebugKotlin,2936,2972,2878,2913,3445,3462,ms
Task Path,:layer_0:module_0_57:compileDebugKotlin,3124,3040,2999,2968,3709,3511,ms
Task Path,:layer_0:module_0_58:compileDebugKotlin,3575,3556,3499,3470,4285,4061,ms
Task Path,:layer_0:module_0_59:compileDebugKotlin,1587,1649,1537,1570,2026,2142,ms
Task Path,:layer_0:module_0_6:kspDebugKotlin,2720,2807,2682,2808,3488,3399,ms
Task Path,:layer_0:module_0_61:kspDebugKotlin,3171,3127,3146,3061,3519,3691,ms
Task Path,:layer_0:module_0_60:kspDebugKotlin,3400,3302,3366,3288,3944,3835,ms
Task Path,:layer_0:module_0_62:kspDebugKotlin,2974,2964,2930,2928,3325,3346,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,1968,1982,1917,1949,2284,2337,ms
Task Path,:layer_0:module_0_60:compileDebugKotlin,1987,1983,1930,1962,2456,2303,ms
Task Path,:layer_0:module_0_61:compileDebugKotlin,3044,3082,3026,3061,3421,3517,ms
Task Path,:layer_0:module_0_62:compileDebugKotlin,2327,2328,2259,2274,2791,2809,ms
Task Path,:layer_0:module_0_63:kspDebugKotlin,3020,3068,3048,3078,3728,3826,ms
Task Path,:layer_0:module_0_64:kspDebugKotlin,2824,2904,2807,2912,3370,3298,ms
Task Path,:layer_0:module_0_65:kspDebugKotlin,3145,3211,3087,3160,3654,3664,ms
Task Path,:layer_0:module_0_66:kspDebugKotlin,3012,3108,2961,3066,3346,3593,ms
Task Path,:layer_0:module_0_64:compileDebugKotlin,2028,2088,2027,2032,2390,2539,ms
Task Path,:layer_0:module_0_65:compileDebugKotlin,1595,1598,1563,1552,1833,1966,ms
Task Path,:layer_0:module_0_63:compileDebugKotlin,2644,2673,2596,2624,3030,3236,ms
Task Path,:layer_0:module_0_66:compileDebugKotlin,2719,2693,2684,2640,3174,3184,ms
Task Path,:layer_0:module_0_67:kspDebugKotlin,2895,2910,2836,2921,3559,3385,ms
Task Path,:layer_0:module_0_68:kspDebugKotlin,3266,3308,3236,3254,3882,3854,ms
Task Path,:layer_0:module_0_69:kspDebugKotlin,3343,3295,3310,3290,3807,3863,ms
Task Path,:layer_0:module_0_7:kspDebugKotlin,3183,3120,3143,3154,3729,3452,ms
Task Path,:layer_0:module_0_67:compileDebugKotlin,2168,2166,2084,2089,2585,2614,ms
Task Path,:layer_0:module_0_68:compileDebugKotlin,2914,2836,2844,2784,3396,3243,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,2637,2602,2536,2584,3077,3082,ms
Task Path,:layer_0:module_0_69:compileDebugKotlin,3303,3275,3254,3241,3867,3746,ms
Task Path,:layer_0:module_0_70:kspDebugKotlin,3325,3392,3339,3442,3986,3981,ms
Task Path,:layer_0:module_0_70:compileDebugKotlin,1799,1723,1782,1667,2184,2013,ms
Task Path,:layer_0:module_0_8:kspDebugKotlin,3073,2929,3194,2957,3761,3441,ms
Task Path,:layer_0:module_0_9:kspDebugKotlin,3167,3129,3132,3112,3789,3662,ms
Task Path,:layer_1:module_1_100:kspDebugKotlin,4021,3922,3933,3938,4761,4544,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,2820,2726,2703,2620,3670,3427,ms
Task Path,:layer_1:module_1_100:compileDebugKotlin,2662,2634,2654,2604,2991,3144,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,3929,3880,3906,3813,4802,4397,ms
Task Path,:layer_1:module_1_101:kspDebugKotlin,3715,3654,3642,3559,4193,4359,ms
Task Path,:layer_1:module_1_102:kspDebugKotlin,4041,4027,4058,4025,4805,4684,ms
Task Path,:layer_1:module_1_101:compileDebugKotlin,3817,3790,3821,3787,4463,4597,ms
Task Path,:layer_1:module_1_103:kspDebugKotlin,3991,3892,3939,3830,4734,4674,ms
Task Path,:layer_1:module_1_102:compileDebugKotlin,3617,3545,3595,3672,4034,4310,ms
Task Path,:layer_1:module_1_104:kspDebugKotlin,3868,3905,3789,3751,4537,4904,ms
Task Path,:layer_1:module_1_103:compileDebugKotlin,2039,2028,2045,2001,2358,2400,ms
Task Path,:layer_1:module_1_104:compileDebugKotlin,2129,2035,2068,1998,2388,2307,ms
Task Path,:layer_1:module_1_106:kspDebugKotlin,4111,4078,4105,4066,4613,4681,ms
Task Path,:layer_1:module_1_105:kspDebugKotlin,4873,4718,4907,4683,5420,5346,ms
Task Path,:layer_1:module_1_106:compileDebugKotlin,3513,3585,3509,3653,4149,4265,ms
Task Path,:layer_1:module_1_107:kspDebugKotlin,4381,4401,4354,4338,5006,5141,ms
Task Path,:layer_1:module_1_105:compileDebugKotlin,4388,4414,4461,4471,5062,5159,ms
Task Path,:layer_1:module_1_108:kspDebugKotlin,4366,4398,4355,4414,5037,5043,ms
Task Path,:layer_1:module_1_109:kspDebugKotlin,3755,3757,3739,3773,4100,4247,ms
Task Path,:layer_1:module_1_107:compileDebugKotlin,4704,4646,4561,4645,5713,5447,ms
Task Path,:layer_1:module_1_109:compileDebugKotlin,3097,3058,3107,3042,3647,3679,ms
Task Path,:layer_1:module_1_108:compileDebugKotlin,4325,4199,4326,4109,4991,4900,ms
Task Path,:layer_1:module_1_110:kspDebugKotlin,4408,4319,4361,4212,5267,5048,ms
Task Path,:layer_1:module_1_111:kspDebugKotlin,4100,4107,4144,4083,4587,4665,ms
Task Path,:layer_1:module_1_110:compileDebugKotlin,3314,3138,3330,3128,4068,3781,ms
Task Path,:layer_1:module_1_112:kspDebugKotlin,4388,4345,4330,4255,5037,5039,ms
Task Path,:layer_1:module_1_113:kspDebugKotlin,3684,3637,3694,3644,4464,4302,ms
Task Path,:layer_1:module_1_111:compileDebugKotlin,4317,4032,4369,3958,5094,4807,ms
Task Path,:layer_1:module_1_113:compileDebugKotlin,2341,2289,2266,2350,2968,2704,ms
Task Path,:layer_1:module_1_114:kspDebugKotlin,3800,3654,3868,3722,4509,4092,ms
Task Path,:layer_1:module_1_112:compileDebugKotlin,4468,4127,4405,4022,5485,4826,ms
Task Path,:layer_1:module_1_115:kspDebugKotlin,3992,4072,4006,4052,4619,4663,ms
Task Path,:layer_1:module_1_114:compileDebugKotlin,3649,3427,3569,3384,4302,4100,ms
Task Path,:layer_1:module_1_115:compileDebugKotlin,2898,2664,2799,2697,3682,3050,ms
Task Path,:layer_1:module_1_116:kspDebugKotlin,3568,3615,3516,3576,4284,4152,ms
Task Path,:layer_1:module_1_117:kspDebugKotlin,3279,3294,3238,3285,3804,3819,ms
Task Path,:layer_1:module_1_117:compileDebugKotlin,1928,1949,1936,1989,2396,2409,ms
Task Path,:layer_1:module_1_118:kspDebugKotlin,3179,3184,3153,3262,4339,3967,ms
Task Path,:layer_1:module_1_116:compileDebugKotlin,2227,2173,2167,2197,2728,2493,ms
Task Path,:layer_1:module_1_119:kspDebugKotlin,2929,2993,2914,3009,3744,3597,ms
Task Path,:layer_1:module_1_119:compileDebugKotlin,1647,1566,1612,1532,1965,1880,ms
Task Path,:layer_1:module_1_118:compileDebugKotlin,2238,2035,2217,1959,2717,2605,ms
Task Path,:layer_1:module_1_121:kspDebugKotlin,2965,2931,2975,2873,3372,3413,ms
Task Path,:layer_1:module_1_120:kspDebugKotlin,3845,3798,3867,3762,4485,4494,ms
Task Path,:layer_1:module_1_121:compileDebugKotlin,1810,1788,1818,1729,2094,2217,ms
Task Path,:layer_1:module_1_122:kspDebugKotlin,3223,3176,3221,3288,3976,3777,ms
Task Path,:layer_1:module_1_123:kspDebugKotlin,3046,2957,2992,2932,3680,3514,ms
Task Path,:layer_1:module_1_120:compileDebugKotlin,3008,2865,2943,2780,3478,3545,ms
Task Path,:layer_1:module_1_123:compileDebugKotlin,2176,2100,2144,2003,2480,2541,ms
Task Path,:layer_1:module_1_124:kspDebugKotlin,3185,3138,3177,3162,3672,3583,ms
Task Path,:layer_1:module_1_122:compileDebugKotlin,2993,2840,2911,2799,3613,3355,ms
Task Path,:layer_1:module_1_125:kspDebugKotlin,3243,3106,3236,3085,3688,3589,ms
Task Path,:layer_1:module_1_124:compileDebugKotlin,1964,1833,1910,1836,2383,2203,ms
Task Path,:layer_1:module_1_125:compileDebugKotlin,1735,1658,1657,1587,2164,2167,ms
Task Path,:layer_1:module_1_126:kspDebugKotlin,2778,2761,2866,2789,3508,3374,ms
Task Path,:layer_1:module_1_127:kspDebugKotlin,2814,2725,2831,2803,3449,3325,ms
Task Path,:layer_1:module_1_128:kspDebugKotlin,3267,3149,3210,3132,3859,3633,ms
Task Path,:layer_1:module_1_127:compileDebugKotlin,1695,1684,1592,1659,2192,2134,ms
Task Path,:layer_1:module_1_126:compileDebugKotlin,2681,2544,2578,2542,3134,3047,ms
Task Path,:layer_1:module_1_129:kspDebugKotlin,2905,2741,2863,2704,3391,3202,ms
Task Path,:layer_1:module_1_128:compileDebugKotlin,1962,1900,1914,1846,2362,2338,ms
Task Path,:layer_1:module_1_130:kspDebugKotlin,3173,3103,3205,3051,3901,3834,ms
Task Path,:layer_1:module_1_129:compileDebugKotlin,1507,1482,1462,1399,1908,1887,ms
Task Path,:layer_1:module_1_131:kspDebugKotlin,2854,2768,2813,2711,3369,3242,ms
Task Path,:layer_1:module_1_130:compileDebugKotlin,2754,2583,2701,2520,3230,3093,ms
Task Path,:layer_1:module_1_132:kspDebugKotlin,3407,3259,3311,3194,3963,3758,ms
Task Path,:layer_1:module_1_133:kspDebugKotlin,3247,3136,3181,3071,3761,3588,ms
Task Path,:layer_1:module_1_131:compileDebugKotlin,2719,2472,2725,2423,3147,2781,ms
Task Path,:layer_1:module_1_134:kspDebugKotlin,2873,2787,2981,2929,3583,3462,ms
Task Path,:layer_1:module_1_132:compileDebugKotlin,3108,2980,3087,3043,3519,3420,ms
Task Path,:layer_1:module_1_133:compileDebugKotlin,3093,2906,3006,2843,3594,3502,ms
Task Path,:layer_1:module_1_135:kspDebugKotlin,2996,3060,3050,2969,3536,3830,ms
Task Path,:layer_1:module_1_134:compileDebugKotlin,2259,2241,2193,2234,2647,2608,ms
Task Path,:layer_1:module_1_136:kspDebugKotlin,3261,3225,3221,3204,3946,3917,ms
Task Path,:layer_1:module_1_135:compileDebugKotlin,1995,1987,1906,1900,2444,2486,ms
Task Path,:layer_1:module_1_137:kspDebugKotlin,2743,2705,2650,2646,3362,3219,ms
Task Path,:layer_1:module_1_138:kspDebugKotlin,3080,2994,3014,3013,3785,3627,ms
Task Path,:layer_1:module_1_137:compileDebugKotlin,1630,1597,1604,1491,2039,2171,ms
Task Path,:layer_1:module_1_136:compileDebugKotlin,3031,2812,2980,2734,3726,3321,ms
Task Path,:layer_1:module_1_139:kspDebugKotlin,3053,2949,3008,2974,3711,3464,ms
Task Path,:layer_1:module_1_138:compileDebugKotlin,2993,2883,2928,2788,3499,3453,ms
Task Path,:layer_1:module_1_140:kspDebugKotlin,3688,3673,3633,3646,4263,4262,ms
Task Path,:layer_1:module_1_139:compileDebugKotlin,2437,2323,2364,2331,2885,2782,ms
Task Path,:layer_1:module_1_71:kspDebugKotlin,3037,2998,3012,2975,3486,3633,ms
Task Path,:layer_1:module_1_72:kspDebugKotlin,3213,3155,3167,3206,3867,3728,ms
Task Path,:layer_1:module_1_140:compileDebugKotlin,2440,2355,2342,2330,3057,2944,ms
Task Path,:layer_1:module_1_73:kspDebugKotlin,2556,2463,2591,2430,3043,2923,ms
Task Path,:layer_1:module_1_71:compileDebugKotlin,2744,2653,2615,2545,3238,3208,ms
Task Path,:layer_1:module_1_72:compileDebugKotlin,2816,2743,2791,2630,3308,3394,ms
Task Path,:layer_1:module_1_73:compileDebugKotlin,1308,1286,1261,1249,1649,1613,ms
Task Path,:layer_1:module_1_74:kspDebugKotlin,2647,2682,2641,2650,3171,3431,ms
Task Path,:layer_1:module_1_75:kspDebugKotlin,3304,3226,3229,3224,3990,3549,ms
Task Path,:layer_1:module_1_74:compileDebugKotlin,1861,1766,1782,1723,2383,2027,ms
Task Path,:layer_1:module_1_76:kspDebugKotlin,2738,2668,2683,2607,3337,3244,ms
Task Path,:layer_1:module_1_77:kspDebugKotlin,3025,2863,2994,2836,3618,3429,ms
Task Path,:layer_1:module_1_75:compileDebugKotlin,1948,1952,1955,1847,2306,2418,ms
Task Path,:layer_1:module_1_76:compileDebugKotlin,1411,1334,1345,1248,1782,1741,ms
Task Path,:layer_1:module_1_77:compileDebugKotlin,2775,2607,2676,2510,3652,3204,ms
Task Path,:layer_1:module_1_78:kspDebugKotlin,3035,2929,2989,2914,3760,3418,ms
Task Path,:layer_1:module_1_79:kspDebugKotlin,3125,2985,3024,2907,3858,3427,ms
Task Path,:layer_1:module_1_80:kspDebugKotlin,3220,3061,3122,3090,3808,3746,ms
Task Path,:layer_1:module_1_80:compileDebugKotlin,1222,1215,1177,1230,1506,1463,ms
Task Path,:layer_1:module_1_78:compileDebugKotlin,3179,2967,3089,2866,3862,3444,ms
Task Path,:layer_1:module_1_81:kspDebugKotlin,2423,2366,2448,2369,2874,3030,ms
Task Path,:layer_1:module_1_79:compileDebugKotlin,2684,2570,2663,2521,3190,3049,ms
Task Path,:layer_1:module_1_81:compileDebugKotlin,1313,1290,1310,1260,1529,1552,ms
Task Path,:layer_1:module_1_82:kspDebugKotlin,2360,2270,2352,2240,2846,2696,ms
Task Path,:layer_1:module_1_83:kspDebugKotlin,2731,2701,2688,2625,3219,3480,ms
Task Path,:layer_1:module_1_84:kspDebugKotlin,3128,3026,3031,2924,3739,3561,ms
Task Path,:layer_1:module_1_82:compileDebugKotlin,2237,2107,2201,2059,2763,2561,ms
Task Path,:layer_1:module_1_85:kspDebugKotlin,3478,3455,3429,3492,4118,4014,ms
Task Path,:layer_1:module_1_83:compileDebugKotlin,2492,2398,2343,2321,3216,2845,ms
Task Path,:layer_1:module_1_84:compileDebugKotlin,2778,2697,2680,2642,3535,3430,ms
Task Path,:layer_1:module_1_85:compileDebugKotlin,2543,2402,2546,2278,2941,3058,ms
Task Path,:layer_1:module_1_86:kspDebugKotlin,2891,2883,2960,2841,3402,3398,ms
Task Path,:layer_1:module_1_87:kspDebugKotlin,2736,2657,2647,2658,3331,3497,ms
Task Path,:layer_1:module_1_88:kspDebugKotlin,2883,2900,2813,2860,3346,3408,ms
Task Path,:layer_1:module_1_86:compileDebugKotlin,2704,2615,2643,2591,3334,3211,ms
Task Path,:layer_1:module_1_87:compileDebugKotlin,1797,1754,1759,1707,2141,2176,ms
Task Path,:layer_1:module_1_89:kspDebugKotlin,2875,2838,2833,2770,3463,3535,ms
Task Path,:layer_1:module_1_88:compileDebugKotlin,1790,1702,1761,1578,2184,2222,ms
Task Path,:layer_1:module_1_89:compileDebugKotlin,2314,2332,2212,2287,2836,2824,ms
Task Path,:layer_1:module_1_90:kspDebugKotlin,3087,3009,3013,2957,3894,3646,ms
Task Path,:layer_1:module_1_91:kspDebugKotlin,2899,2884,2841,2792,3497,3476,ms
Task Path,:layer_1:module_1_92:kspDebugKotlin,2923,2859,2820,2722,3557,3425,ms
Task Path,:layer_1:module_1_92:compileDebugKotlin,2014,1945,1929,1900,2392,2513,ms
Task Path,:layer_1:module_1_91:compileDebugKotlin,2532,2426,2387,2301,3095,2864,ms
Task Path,:layer_1:module_1_93:kspDebugKotlin,2578,2541,2497,2515,3139,3114,ms
Task Path,:layer_1:module_1_90:compileDebugKotlin,2830,2752,2712,2643,3434,3325,ms
Task Path,:layer_1:module_1_93:compileDebugKotlin,1273,1254,1216,1222,1653,1608,ms
Task Path,:layer_1:module_1_94:kspDebugKotlin,2423,2400,2425,2304,2979,2914,ms
Task Path,:layer_1:module_1_95:kspDebugKotlin,2847,2892,2878,2875,3324,3351,ms
Task Path,:layer_1:module_1_96:kspDebugKotlin,2849,2821,2764,2804,3418,3345,ms
Task Path,:layer_1:module_1_94:compileDebugKotlin,1715,1693,1693,1629,2083,2054,ms
Task Path,:layer_1:module_1_97:kspDebugKotlin,2952,2937,2928,2795,3460,3581,ms
Task Path,:layer_1:module_1_95:compileDebugKotlin,1764,1749,1745,1727,2063,2124,ms
