Category,Metric,varianta_2.2.10 Mean,variantb_2.2.20 Mean,varianta_2.2.10 P50,variantb_2.2.20 P50,varianta_2.2.10 P90,variantb_2.2.20 P90,Unit
Task Path,:repository:file-contact:compileDebugKotlin,2173,2127,2082,2082,2621,2551,ms
Task Path,:repository:news-contact:compileDebugKotlin,2127,2123,2063,2123,2610,2499,ms
Task Path,:repository:note-contact:kspDebugKotlin,3309,3368,3353,3337,3836,4005,ms
Task Path,:repository:podcast-contact:kspDebugKotlin,3062,3254,3054,3249,3519,3722,ms
Task Path,:repository:video-contact:kspDebugKotlin,2946,3029,2921,2958,3317,3570,ms
Task Path,:repository:note-contact:compileDebugKotlin,3045,3052,2985,3020,3520,3536,ms
Task Path,:repository:weather-contact:kspDebugKotlin,3267,3309,3230,3240,3659,3777,ms
Task Path,:repository:video-contact:compileDebugKotlin,2355,2362,2358,2326,2737,2638,ms
Task Path,:repository:podcast-contact:compileDebugKotlin,2823,2833,2816,2839,3135,3212,ms
Task Path,:repository:weather-contact:compileDebugKotlin,2678,2717,2640,2677,3114,3238,ms
Task Path,:repository:document-contact:kspDebugKotlin,2901,2941,2899,2879,3196,3561,ms
Task Path,:repository:document-contact:compileDebugKotlin,2024,2038,1895,2023,2566,2436,ms
Task Path,:repository:task-contact:kspDebugKotlin,3108,3218,3088,3191,3598,3685,ms
Task Path,:model:account-login:kspDebugKotlin,2899,2873,2844,2831,3474,3389,ms
Task Path,:repository:timer-contact:kspDebugKotlin,2846,2893,2784,2886,3272,3239,ms
Task Path,:model:account-login:compileDebugKotlin,1670,1646,1604,1610,2220,2026,ms
Task Path,:repository:timer-contact:compileDebugKotlin,1664,1633,1583,1582,2185,1930,ms
Task Path,:repository:task-contact:compileDebugKotlin,2722,2630,2644,2547,3216,3139,ms
Task Path,:repository:gallery-contact:kspDebugKotlin,3314,3268,3278,3237,3930,4075,ms
Task Path,:repository:list-contact:kspDebugKotlin,2834,2893,2754,2963,3284,3481,ms
Task Path,:repository:map-contact:kspDebugKotlin,2644,2767,2639,2732,3010,3380,ms
Task Path,:repository:gallery-contact:compileDebugKotlin,2197,2212,2183,2212,2484,2636,ms
Task Path,:model:audio-contact:kspDebugKotlin,2882,2971,2858,2968,3433,3446,ms
Task Path,:repository:map-contact:compileDebugKotlin,1684,1703,1666,1651,1887,2007,ms
Task Path,:repository:list-contact:compileDebugKotlin,2815,2861,2723,2857,3180,3240,ms
Task Path,:model:audio-contact:compileDebugKotlin,2653,2793,2663,2804,3124,3256,ms
Task Path,:repository:media-contact:kspDebugKotlin,3176,3248,3209,3240,3699,3823,ms
Task Path,:repository:report-contact:kspDebugKotlin,3013,3219,2992,3126,3512,3771,ms
Task Path,:repository:metric-contact:kspDebugKotlin,2825,2983,2847,2946,3236,3508,ms
Task Path,:repository:media-contact:compileDebugKotlin,2687,2789,2683,2735,3227,3247,ms
