Category,Metric,varianta_kotlin_2.1.21 Mean,variantb_k2_kotlin_2.1.21 Mean,varianta_kotlin_2.1.21 P50,variantb_k2_kotlin_2.1.21 P50,varianta_kotlin_2.1.21 P90,variantb_k2_kotlin_2.1.21 P90,Unit
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,138,106,115,91,205,188,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1548,1628,1186,1358,2711,2739,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,4,4,4,4,6,8,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,36,38,32,36,53,54,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,688,703,688,707,815,812,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,2,3,3,3,4,4,ms
Task Path,:build-logic:convention:compileKotlin,6729,6766,6362,6346,8800,8892,ms
Task Path,:layer_0:module_0_1:parseDebugLocalResources,1237,1380,1028,1046,2250,2706,ms
Task Path,:layer_0:module_0_1:kspDebugKotlin,10220,14614,10131,14410,10822,15067,ms
Task Path,:layer_0:module_0_12:kspDebugKotlin,7919,13206,7850,12952,8362,13598,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,8334,13578,8245,13301,8824,13995,ms
Task Path,:layer_0:module_0_10:kspDebugKotlin,9149,14088,9034,13926,9687,14506,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,10867,13509,10775,13413,11371,14284,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,10942,13716,10883,13472,11360,14755,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,10998,14386,10932,14303,11463,15073,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,10957,13870,10899,13805,11452,14530,ms
Task Path,:layer_0:module_0_1:compileDebugJavaWithJavac,1395,1427,1356,1406,1545,1587,ms
Task Path,:layer_0:module_0_13:kspDebugKotlin,4471,6599,4427,6575,5122,7218,ms
Task Path,:layer_0:module_0_14:kspDebugKotlin,4367,6548,4315,6556,4914,7205,ms
Task Path,:layer_0:module_0_16:kspDebugKotlin,4137,7050,4077,7015,4566,7700,ms
Task Path,:layer_0:module_0_15:kspDebugKotlin,5007,8040,4982,7990,5475,8639,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,5899,7242,5893,7279,6217,7876,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,6047,7560,6006,7548,6454,8264,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,5306,6196,5286,6158,5634,6726,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,5228,5940,5181,5945,5578,6381,ms
Task Path,:layer_0:module_0_17:kspDebugKotlin,3691,5051,3616,4904,4113,5720,ms
