Category,Metric,varianta_parallel Mean,variantb_g1 Mean,varianta_parallel P50,variantb_g1 P50,varianta_parallel P90,variantb_g1 P90,Unit
Task Path,:layer_0:module_0_62:compileDebugKotlin,3480,3278,3261,3326,4690,3692,ms
Task Path,:layer_0:module_0_65:kspDebugKotlin,3035,2941,2860,2860,4232,3785,ms
Task Path,:layer_0:module_0_65:compileDebugKotlin,1743,1681,1596,1668,2111,2065,ms
Task Path,:layer_0:module_0_66:kspDebugKotlin,2679,2429,2366,2446,4237,2746,ms
Task Path,:layer_0:module_0_68:kspDebugKotlin,3179,2919,2866,2911,4698,3377,ms
Task Path,:layer_0:module_0_67:kspDebugKotlin,3128,2813,2890,2805,4627,3175,ms
Task Path,:layer_0:module_0_66:compileDebugKotlin,1675,1429,1333,1365,3190,1688,ms
Task Path,:layer_0:module_0_68:compileDebugKotlin,1961,2082,1766,2058,3368,2633,ms
Task Path,:layer_0:module_0_67:compileDebugKotlin,2738,2771,2430,2637,4144,3449,ms
Task Path,:layer_0:module_0_69:kspDebugKotlin,3428,3379,2948,3419,5020,4106,ms
Task Path,:layer_0:module_0_7:kspDebugKotlin,2658,2949,2544,2862,3381,3650,ms
Task Path,:layer_0:module_0_69:compileDebugKotlin,2721,3420,2672,3435,3214,4020,ms
Task Path,:layer_0:module_0_71:kspDebugKotlin,2589,3135,2539,3173,2931,3544,ms
Task Path,:layer_0:module_0_70:kspDebugKotlin,2994,3586,2940,3597,3363,4165,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,1848,2387,1831,2417,2160,2862,ms
Task Path,:layer_0:module_0_71:compileDebugKotlin,1801,2168,1710,2143,2126,2735,ms
Task Path,:layer_0:module_0_70:compileDebugKotlin,1755,2115,1716,2155,2150,2569,ms
Task Path,:layer_0:module_0_72:kspDebugKotlin,2507,2877,2462,2813,2884,3440,ms
Task Path,:layer_0:module_0_72:compileDebugKotlin,1222,1410,1151,1333,1645,1758,ms
Task Path,:layer_0:module_0_73:kspDebugKotlin,2250,2676,2176,2680,2617,3278,ms
Task Path,:layer_0:module_0_74:kspDebugKotlin,2337,2572,2313,2505,2675,2979,ms
Task Path,:layer_0:module_0_75:kspDebugKotlin,2904,3069,2854,3025,3206,3541,ms
Task Path,:layer_0:module_0_73:compileDebugKotlin,1337,1481,1300,1494,1754,1793,ms
Task Path,:layer_0:module_0_74:compileDebugKotlin,1471,1566,1426,1532,1740,1851,ms
Task Path,:layer_0:module_0_76:kspDebugKotlin,2514,2703,2508,2592,2762,3109,ms
Task Path,:layer_0:module_0_76:compileDebugKotlin,1361,1455,1310,1413,1693,1803,ms
Task Path,:layer_0:module_0_75:compileDebugKotlin,2205,2375,2132,2331,2614,2880,ms
Task Path,:layer_0:module_0_77:kspDebugKotlin,2430,2588,2383,2485,2745,3058,ms
Task Path,:layer_0:module_0_78:kspDebugKotlin,2246,2382,2222,2386,2815,2930,ms
Task Path,:layer_0:module_0_77:compileDebugKotlin,1429,1511,1351,1518,1781,1848,ms
Task Path,:layer_0:module_0_78:compileDebugKotlin,1310,1365,1260,1289,1564,1814,ms
Task Path,:layer_0:module_0_79:kspDebugKotlin,2237,2325,2176,2278,2581,2745,ms
Task Path,:layer_0:module_0_8:kspDebugKotlin,2644,2749,2572,2739,3042,3133,ms
Task Path,:layer_0:module_0_79:compileDebugKotlin,1394,1433,1349,1374,1759,1737,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,2176,2112,2093,2062,2598,2456,ms
Task Path,:layer_0:module_0_80:kspDebugKotlin,3166,3281,3118,3252,3615,3671,ms
Task Path,:layer_0:module_0_9:kspDebugKotlin,2749,2599,2610,2629,3285,2835,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,1684,1718,1658,1699,2012,2094,ms
Task Path,:layer_0:module_0_80:compileDebugKotlin,2475,2444,2372,2390,3098,2878,ms
Task Path,:layer_1:module_1_100:kspDebugKotlin,3391,3276,3475,3274,4052,3947,ms
Task Path,:layer_1:module_1_101:kspDebugKotlin,2992,3110,2923,3004,3566,3905,ms
Task Path,:layer_1:module_1_100:compileDebugKotlin,2872,3019,2830,2931,3347,3662,ms
Task Path,:layer_1:module_1_101:compileDebugKotlin,2720,2690,2713,2591,3097,3223,ms
Task Path,:layer_1:module_1_102:kspDebugKotlin,3089,3065,3048,3040,3639,3493,ms
Task Path,:layer_1:module_1_102:compileDebugKotlin,2072,1966,1916,1917,2859,2407,ms
Task Path,:layer_1:module_1_103:kspDebugKotlin,3466,3505,3305,3411,4714,4211,ms
Task Path,:layer_1:module_1_103:compileDebugKotlin,3929,4036,3650,4067,5267,4780,ms
Task Path,:layer_1:module_1_104:kspDebugKotlin,4062,4117,3727,4106,5627,4744,ms
Task Path,:layer_1:module_1_105:kspDebugKotlin,4412,4465,4006,4381,6265,5247,ms
Task Path,:layer_1:module_1_106:kspDebugKotlin,3794,3878,3417,3830,5284,4478,ms
Task Path,:layer_1:module_1_107:kspDebugKotlin,3365,3357,3146,3389,4142,3696,ms
Task Path,:layer_1:module_1_104:compileDebugKotlin,3152,3571,2979,3566,4083,4174,ms
Task Path,:layer_1:module_1_107:compileDebugKotlin,2074,2334,2035,2334,2307,2922,ms
Task Path,:layer_1:module_1_106:compileDebugKotlin,3350,3902,3301,3946,4066,4245,ms
Task Path,:layer_1:module_1_105:compileDebugKotlin,3409,3841,3373,3873,4003,4225,ms
Task Path,:layer_1:module_1_108:kspDebugKotlin,3638,3726,3401,3665,4298,4376,ms
Task Path,:layer_1:module_1_108:compileDebugKotlin,3159,3362,3132,3271,3539,3935,ms
Task Path,:layer_1:module_1_109:kspDebugKotlin,3349,3487,3289,3469,3679,3981,ms
Task Path,:layer_1:module_1_111:kspDebugKotlin,3132,3311,3067,3263,3502,3783,ms
Task Path,:layer_1:module_1_110:kspDebugKotlin,3927,4061,3907,3976,4266,4715,ms
Task Path,:layer_1:module_1_109:compileDebugKotlin,2812,2963,2777,2888,3067,3479,ms
Task Path,:layer_1:module_1_111:compileDebugKotlin,2270,2304,2209,2237,2858,2804,ms
Task Path,:layer_1:module_1_112:kspDebugKotlin,3454,3450,3416,3427,3858,4085,ms
Task Path,:layer_1:module_1_110:compileDebugKotlin,3293,3423,3187,3417,3917,4028,ms
Task Path,:layer_1:module_1_112:compileDebugKotlin,2739,2780,2742,2775,3218,3161,ms
Task Path,:layer_1:module_1_113:kspDebugKotlin,3420,3517,3386,3451,3908,3936,ms
Task Path,:layer_1:module_1_114:kspDebugKotlin,3486,3463,3450,3466,3924,3782,ms
Task Path,:layer_1:module_1_115:kspDebugKotlin,3860,3852,3871,3865,4247,4192,ms
Task Path,:layer_1:module_1_116:kspDebugKotlin,3049,3106,3071,3117,3523,3647,ms
Task Path,:layer_1:module_1_113:compileDebugKotlin,3173,3257,3197,3290,3561,3837,ms
Task Path,:layer_1:module_1_114:compileDebugKotlin,3065,3219,3032,3120,3491,3654,ms
Task Path,:layer_1:module_1_115:compileDebugKotlin,3093,3161,3129,3098,3419,3577,ms
Task Path,:layer_1:module_1_116:compileDebugKotlin,1723,1726,1690,1694,2088,1972,ms
Task Path,:layer_1:module_1_117:kspDebugKotlin,3000,3126,3054,3088,3670,3653,ms
Task Path,:layer_1:module_1_118:kspDebugKotlin,3243,3342,3217,3316,3811,3838,ms
Task Path,:layer_1:module_1_119:kspDebugKotlin,3133,3338,3067,3262,3690,3856,ms
Task Path,:layer_1:module_1_117:compileDebugKotlin,2261,2377,2240,2342,2668,2800,ms
Task Path,:layer_1:module_1_120:kspDebugKotlin,3814,3988,3777,3950,4312,4550,ms
Task Path,:layer_1:module_1_118:compileDebugKotlin,2622,2863,2550,2781,2988,3409,ms
Task Path,:layer_1:module_1_119:compileDebugKotlin,2755,2910,2732,2868,3188,3311,ms
Task Path,:layer_1:module_1_121:kspDebugKotlin,2945,3092,2994,3069,3450,3706,ms
Task Path,:layer_1:module_1_120:compileDebugKotlin,2902,3032,2850,3044,3328,3575,ms
Task Path,:layer_1:module_1_121:compileDebugKotlin,2209,2214,2124,2183,2827,2608,ms
Task Path,:layer_1:module_1_122:kspDebugKotlin,2776,2923,2818,2945,3342,3366,ms
Task Path,:layer_1:module_1_123:kspDebugKotlin,2775,2880,2735,2862,3149,3266,ms
Task Path,:layer_1:module_1_124:kspDebugKotlin,2702,2792,2694,2783,3159,3154,ms
Task Path,:layer_1:module_1_123:compileDebugKotlin,1727,1732,1716,1713,2080,2026,ms
Task Path,:layer_1:module_1_122:compileDebugKotlin,1987,2045,1968,2003,2355,2356,ms
Task Path,:layer_1:module_1_124:compileDebugKotlin,1647,1671,1602,1569,1991,2125,ms
Task Path,:layer_1:module_1_125:kspDebugKotlin,3018,3063,2964,3040,3579,3570,ms
Task Path,:layer_1:module_1_125:compileDebugKotlin,1950,1982,1918,1928,2418,2455,ms
Task Path,:layer_1:module_1_127:kspDebugKotlin,2798,2789,2702,2758,3271,3296,ms
Task Path,:layer_1:module_1_126:kspDebugKotlin,2990,3032,2926,2923,3515,3632,ms
Task Path,:layer_1:module_1_128:kspDebugKotlin,3074,3106,3033,3060,3518,3518,ms
Task Path,:layer_1:module_1_127:compileDebugKotlin,2191,2311,2133,2248,2552,2755,ms
Task Path,:layer_1:module_1_129:kspDebugKotlin,2995,2970,2944,2987,3501,3535,ms
Task Path,:layer_1:module_1_126:compileDebugKotlin,2880,2962,2853,2932,3389,3368,ms
Task Path,:layer_1:module_1_128:compileDebugKotlin,2152,2189,2064,2185,2722,2714,ms
Task Path,:layer_1:module_1_129:compileDebugKotlin,2456,2490,2423,2485,2870,2834,ms
Task Path,:layer_1:module_1_131:kspDebugKotlin,2378,2447,2380,2435,2730,2920,ms
Task Path,:layer_1:module_1_130:kspDebugKotlin,2908,2946,2907,2911,3298,3421,ms
Task Path,:layer_1:module_1_132:kspDebugKotlin,2491,2534,2472,2532,2799,2926,ms
Task Path,:layer_1:module_1_131:compileDebugKotlin,1154,1175,1135,1133,1323,1337,ms
Task Path,:layer_1:module_1_130:compileDebugKotlin,1538,1561,1504,1539,1869,1788,ms
Task Path,:layer_1:module_1_132:compileDebugKotlin,1386,1395,1358,1362,1735,1636,ms
Task Path,:layer_1:module_1_133:kspDebugKotlin,2542,2564,2543,2547,3005,2898,ms
Task Path,:layer_1:module_1_133:compileDebugKotlin,2513,2510,2494,2495,2945,2954,ms
Task Path,:layer_1:module_1_134:kspDebugKotlin,2720,2710,2659,2703,3243,3219,ms
Task Path,:layer_1:module_1_135:kspDebugKotlin,3226,3203,3158,3138,3637,3625,ms
