Category,Metric,varianta_r8 Mean,variantb_kill_process_before_r8 Mean,varianta_r8 P50,variantb_kill_process_before_r8 P50,varianta_r8 P90,variantb_kill_process_before_r8 P90,Unit
Task Path,:core:notification:kspReleaseKotlin,5700,5511,5602,5395,6801,6283,ms
Task Path,:core:network:compileReleaseKotlin,3674,3388,3718,3387,4233,3901,ms
Task Path,:core:notification:compileReleaseKotlin,4067,3872,3960,3822,4739,4373,ms
Task Path,:core:post:kspReleaseKotlin,5764,5652,5709,5633,6632,6320,ms
Task Path,:core:profile:kspReleaseKotlin,6702,6346,6586,6470,7575,7128,ms
Task Path,:core:push:kspReleaseKotlin,6004,5481,5998,5416,6935,6757,ms
Task Path,:core:post:compileReleaseKotlin,5677,5678,5561,5712,6604,6407,ms
Task Path,:core:report:kspReleaseKotlin,6864,6243,6851,6074,8059,7065,ms
Task Path,:core:profile:compileReleaseKotlin,7016,6803,6951,6831,7584,7739,ms
Task Path,:core:push:compileReleaseKotlin,4885,4723,4825,4783,5528,5368,ms
Task Path,:core:report:compileReleaseKotlin,5625,5452,5510,5553,6447,6074,ms
Task Path,:core:search:kspReleaseKotlin,5244,5031,5146,5111,6144,5981,ms
Task Path,:core:session:kspReleaseKotlin,5798,5717,5761,5793,6616,6778,ms
Task Path,:core:setting:kspReleaseKotlin,5482,5505,5374,5663,6332,6361,ms
Task Path,:core:search:compileReleaseKotlin,3072,3023,3082,3011,3625,3741,ms
Task Path,:core:setting:compileReleaseKotlin,2501,2566,2536,2575,2749,3081,ms
Task Path,:core:share:kspReleaseKotlin,4812,4637,4625,4653,5789,5233,ms
Task Path,:core:session:compileReleaseKotlin,5889,5861,5935,5883,6848,6632,ms
Task Path,:core:share:compileReleaseKotlin,2739,2716,2736,2715,3304,3096,ms
Task Path,:core:sync:kspReleaseKotlin,5469,5123,5373,5075,6184,5895,ms
Task Path,:core:user:kspReleaseKotlin,4013,3845,4125,3825,4672,4485,ms
Task Path,:core:sync:compileReleaseKotlin,2632,2614,2531,2553,3236,3076,ms
Task Path,:core:user:compileReleaseKotlin,2352,2359,2253,2380,3050,2741,ms
Task Path,:feature:list:kspReleaseKotlin,4382,4253,4392,4131,4965,4869,ms
Task Path,:feature:podcast:kspReleaseKotlin,4463,4426,4403,4344,5034,5257,ms
Task Path,:feature:gallery:kspReleaseKotlin,4318,4385,4351,4468,4895,4976,ms
Task Path,:feature:list:compileReleaseKotlin,3186,3161,3181,3205,3674,3724,ms
Task Path,:feature:media:kspReleaseKotlin,4909,4724,4969,4641,5664,5458,ms
Task Path,:feature:podcast:compileReleaseKotlin,3808,3858,3754,3847,4361,4313,ms
Task Path,:feature:gallery:compileReleaseKotlin,2056,2102,2011,2080,2462,2637,ms
Task Path,:feature:media:compileReleaseKotlin,3896,4012,4057,4078,4379,4489,ms
Task Path,:feature:log:kspReleaseKotlin,3174,3203,3165,3143,4030,4093,ms
Task Path,:feature:news:kspReleaseKotlin,3706,3722,3751,3680,4528,4528,ms
Task Path,:feature:photo:kspReleaseKotlin,4740,4694,4632,4584,5369,5820,ms
Task Path,:feature:log:compileReleaseKotlin,2180,2073,2094,2096,2699,2426,ms
Task Path,:feature:news:compileReleaseKotlin,3068,2943,3127,2852,3714,3570,ms
Task Path,:domain:account-contact:kspReleaseKotlin,4946,4869,4946,4802,5810,5736,ms
Task Path,:feature:photo:compileReleaseKotlin,3028,3215,2933,3150,3600,4054,ms
Task Path,:feature:task:kspReleaseKotlin,4015,3865,3903,3911,4907,4554,ms
Task Path,:domain:account-contact:compileReleaseKotlin,4139,4179,4091,4177,4767,4835,ms
Task Path,:feature:task:compileReleaseKotlin,2554,2553,2429,2542,3291,3085,ms
Task Path,:feature:weather:kspReleaseKotlin,4022,4143,4014,4210,4857,4945,ms
Task Path,:feature:event:kspReleaseKotlin,5133,5107,5089,5093,6321,5853,ms
Task Path,:feature:weather:compileReleaseKotlin,3860,3819,3851,3936,4447,4284,ms
Task Path,:feature:event:compileReleaseKotlin,4425,4363,4440,4326,4979,4977,ms
Task Path,:feature:forecast:kspReleaseKotlin,5684,5625,5610,5680,6525,6133,ms
Task Path,:feature:metric:kspReleaseKotlin,4824,4729,4869,4614,5790,5596,ms
Task Path,:domain:analytics-contact:kspReleaseKotlin,4073,4139,4130,4163,4976,4808,ms
Task Path,:feature:metric:compileReleaseKotlin,4265,4380,4284,4360,4905,4919,ms
Task Path,:feature:status:kspReleaseKotlin,3390,3319,3333,3411,4415,3781,ms
Task Path,:feature:forecast:compileReleaseKotlin,4650,4653,4683,4664,5148,5249,ms
Task Path,:domain:analytics-contact:compileReleaseKotlin,2100,2071,2121,2030,2524,2470,ms
Task Path,:feature:status:compileReleaseKotlin,3272,3363,3214,3313,3702,3908,ms
Task Path,:feature:article:kspReleaseKotlin,3505,3563,3432,3473,4013,4298,ms
Task Path,:feature:video:kspReleaseKotlin,3942,4051,3871,4020,4574,4841,ms
Task Path,:feature:timer:kspReleaseKotlin,4271,4250,4193,4143,4811,5015,ms
Task Path,:feature:article:compileReleaseKotlin,2076,2119,2042,2033,2559,2443,ms
Task Path,:feature:video:compileReleaseKotlin,3000,3040,2988,2992,3408,3672,ms
Task Path,:feature:audio:kspReleaseKotlin,3170,3107,3146,3078,3687,3810,ms
Task Path,:feature:timer:compileReleaseKotlin,4155,4267,4132,4272,4632,4898,ms
Task Path,:feature:audio:compileReleaseKotlin,1904,1993,1885,1962,2238,2386,ms
Task Path,:feature:file:kspReleaseKotlin,3453,3314,3429,3278,3943,3919,ms
Task Path,:feature:todo:kspReleaseKotlin,4153,4067,4187,4050,4508,4546,ms
Task Path,:feature:file:compileReleaseKotlin,2929,2992,3007,2943,3250,3549,ms
Task Path,:feature:alarm:kspReleaseKotlin,3697,3610,3750,3560,4239,4128,ms
Task Path,:domain:cart-contact:kspReleaseKotlin,4755,4805,4709,4681,5613,5565,ms
Task Path,:feature:todo:compileReleaseKotlin,4043,3928,3949,3907,4900,4607,ms
Task Path,:feature:alarm:compileReleaseKotlin,2711,2630,2731,2601,3311,3132,ms
Task Path,:feature:calendar:kspReleaseKotlin,3811,3898,3778,3764,4420,4606,ms
Task Path,:domain:cart-contact:compileReleaseKotlin,4422,4349,4319,4386,5245,5049,ms
Task Path,:domain:checkout-contact:kspReleaseKotlin,3610,3611,3553,3562,4214,4239,ms
Task Path,:feature:document:kspReleaseKotlin,3388,3373,3301,3338,4085,3854,ms
Task Path,:feature:calendar:compileReleaseKotlin,4022,4276,4007,4318,4828,4891,ms
Task Path,:feature:document:compileReleaseKotlin,2183,2272,2009,2311,2971,2844,ms
Task Path,:domain:checkout-contact:compileReleaseKotlin,2846,2971,2762,2952,3372,3596,ms
Task Path,:feature:map:kspReleaseKotlin,3643,3782,3685,3782,4186,4407,ms
Task Path,:feature:note:kspReleaseKotlin,3830,3865,3767,3862,4407,4585,ms
Task Path,:feature:map:compileReleaseKotlin,3316,3310,3218,3291,4183,3805,ms
Task Path,:domain:comment-contact:kspReleaseKotlin,3642,3672,3598,3624,4299,4228,ms
Task Path,:feature:note:compileReleaseKotlin,2258,2189,2180,2179,2582,2555,ms
Task Path,:domain:identity-contact:kspReleaseKotlin,3565,3520,3511,3440,4144,4029,ms
Task Path,:domain:comment-contact:compileReleaseKotlin,3056,3072,3046,3070,3549,3408,ms
Task Path,:domain:contact-contact:kspReleaseKotlin,3697,3696,3580,3652,4307,4185,ms
Task Path,:domain:feed-contact:kspReleaseKotlin,3287,3368,3255,3390,3908,3952,ms
Task Path,:domain:group-contact:kspReleaseKotlin,3496,3599,3443,3542,3925,4030,ms
Task Path,:domain:identity-contact:compileReleaseKotlin,2382,2458,2333,2440,2627,2802,ms
Task Path,:domain:feed-contact:compileReleaseKotlin,2049,2053,2081,2014,2435,2417,ms
Task Path,:domain:group-contact:compileReleaseKotlin,2459,2494,2465,2534,2912,2788,ms
Task Path,:domain:contact-contact:compileReleaseKotlin,2968,3084,2979,3055,3314,3377,ms
Task Path,:domain:location-contact:kspReleaseKotlin,3440,3463,3489,3417,4041,4084,ms
Task Path,:domain:login-contact:kspReleaseKotlin,3661,3373,3674,3348,4107,3749,ms
Task Path,:domain:message-contact:kspReleaseKotlin,3782,3572,3829,3543,4262,4115,ms
Task Path,:domain:network-contact:kspReleaseKotlin,3949,3778,3999,3775,4425,4512,ms
Task Path,:domain:login-contact:compileReleaseKotlin,2191,2132,2176,2090,2602,2447,ms
Task Path,:domain:message-contact:compileReleaseKotlin,3130,3138,3064,3149,3570,3640,ms
Task Path,:domain:network-contact:compileReleaseKotlin,2937,2956,3014,2958,3440,3401,ms
Task Path,:domain:location-contact:compileReleaseKotlin,3627,3580,3596,3551,4281,4163,ms
Task Path,:domain:notification-contact:kspReleaseKotlin,3329,3310,3325,3139,4348,4102,ms
Task Path,:domain:playlist:kspReleaseKotlin,2989,3045,2966,3077,3481,3464,ms
Task Path,:domain:notification-contact:compileReleaseKotlin,3182,3225,3204,3241,3461,3717,ms
Task Path,:domain:profile-contact:kspReleaseKotlin,3283,3395,3322,3397,3870,3946,ms
Task Path,:domain:post-contact:kspReleaseKotlin,4495,4735,4496,4682,5185,5276,ms
Task Path,:domain:playlist:compileReleaseKotlin,1828,1851,1759,1815,2121,2245,ms
Task Path,:domain:profile-contact:compileReleaseKotlin,1903,1875,1826,1866,2183,2267,ms
Task Path,:domain:push-contact:kspReleaseKotlin,3578,3654,3550,3626,4156,4127,ms
Task Path,:domain:post-contact:compileReleaseKotlin,3324,3323,3249,3283,3902,3872,ms
Task Path,:domain:search-contact:kspReleaseKotlin,3305,3240,3292,3211,4115,3631,ms
Task Path,:domain:push-contact:compileReleaseKotlin,1819,1895,1755,1880,2183,2196,ms
Task Path,:domain:search-contact:compileReleaseKotlin,1824,1858,1783,1811,2213,2227,ms
Task Path,:domain:session-contact:kspReleaseKotlin,3271,3331,3190,3356,3795,3764,ms
Task Path,:domain:setting-contact:kspReleaseKotlin,3661,3548,3575,3653,4053,4183,ms
Task Path,:domain:session-contact:compileReleaseKotlin,2269,2210,2233,2134,2884,2538,ms
Task Path,:domain:share-contact:kspReleaseKotlin,4216,4100,4223,4015,4672,4678,ms
Task Path,:domain:sync-contact:kspReleaseKotlin,3822,3715,3745,3656,4351,4305,ms
Task Path,:domain:setting-contact:compileReleaseKotlin,3508,3271,3484,3211,4390,4104,ms
Task Path,:domain:share-contact:compileReleaseKotlin,2984,3010,2934,2864,3633,3843,ms
Task Path,:domain:sync-contact:compileReleaseKotlin,2533,2532,2536,2410,3284,3276,ms
Task Path,:domain:user-contact:kspReleaseKotlin,3608,3364,3513,3366,4234,3725,ms
Task Path,:domain:user-contact:compileReleaseKotlin,1733,1766,1619,1709,2430,2364,ms
Task Path,:repository:calendar-contact:kspReleaseKotlin,3205,3430,3197,3417,3704,4044,ms
Task Path,:repository:forecast-contact:kspReleaseKotlin,2996,2960,2877,2862,3556,3787,ms
