Category,Metric,varianta_main Mean,variantb_lint_2g Mean,varianta_main P50,variantb_lint_2g P50,varianta_main P90,variantb_lint_2g P90,Unit
Task Path,:layer_0:module_0_39:compileDebugKotlin,2593,2392,2587,2388,3412,3091,ms
Task Path,:layer_0:module_0_36:lintAnalyzeDebug,5809,5077,5370,4966,8067,6024,ms
Task Path,:layer_0:module_0_37:lintAnalyzeDebug,6107,5290,5469,4951,8063,6797,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,2530,2429,2514,2318,3545,2952,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,2528,2474,2379,2332,4510,2858,ms
Task Path,:layer_0:module_0_38:lintAnalyzeDebug,6399,5249,5517,5199,8559,6489,ms
Task Path,:layer_0:module_0_39:lintAnalyzeDebug,6396,4981,5838,4873,8046,6270,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,2578,2536,2468,2475,3161,3177,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,2286,2446,2287,2410,2766,3054,ms
Task Path,:layer_0:module_0_4:lintAnalyzeDebug,5964,5261,5498,5120,7734,6602,ms
Task Path,:layer_0:module_0_40:lintAnalyzeDebug,5835,5398,5543,4929,7476,6226,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,2616,2361,2327,2453,4256,2745,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,2393,2420,2381,2411,3510,2938,ms
Task Path,:layer_0:module_0_41:lintAnalyzeDebug,6476,5571,5987,5156,8950,6076,ms
Task Path,:layer_0:module_0_42:lintAnalyzeDebug,6617,5222,5902,4903,8908,6474,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2374,2326,2290,2243,3494,3225,ms
Task Path,:layer_0:module_0_43:lintAnalyzeDebug,6196,5129,5693,5103,7968,6195,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2227,2643,2330,2291,2577,4796,ms
Task Path,:layer_0:module_0_44:lintAnalyzeDebug,5959,5100,5316,4914,8294,6186,ms
Task Path,:layer_0:module_0_47:compileDebugKotlin,2243,2390,2226,2276,2597,2693,ms
Task Path,:layer_0:module_0_48:compileDebugKotlin,2194,2503,2264,2348,2570,3068,ms
Task Path,:layer_0:module_0_45:lintAnalyzeDebug,5936,5294,5316,5316,7522,6263,ms
Task Path,:layer_0:module_0_46:lintAnalyzeDebug,5877,5076,5520,5042,7363,6289,ms
Task Path,:layer_0:module_0_49:compileDebugKotlin,2053,2384,2166,2336,2489,2884,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,2313,2320,2402,2300,2836,2761,ms
Task Path,:layer_0:module_0_47:lintAnalyzeDebug,5363,5001,4997,4892,6534,6075,ms
Task Path,:layer_0:module_0_48:lintAnalyzeDebug,5129,5547,5023,4890,6034,6915,ms
Task Path,:layer_0:module_0_50:compileDebugKotlin,2318,2480,2309,2338,2706,3241,ms
Task Path,:layer_0:module_0_51:compileDebugKotlin,2427,2571,2298,2444,2995,3437,ms
Task Path,:layer_0:module_0_5:lintAnalyzeDebug,5369,5984,5119,5064,6679,9430,ms
Task Path,:layer_0:module_0_49:lintAnalyzeDebug,5439,6304,5300,5309,6795,10507,ms
Task Path,:layer_0:module_0_52:compileDebugKotlin,2008,2297,2087,2182,2557,3200,ms
Task Path,:layer_0:module_0_53:compileDebugKotlin,2410,2332,2434,2247,3275,2581,ms
Task Path,:layer_0:module_0_50:lintAnalyzeDebug,5386,5418,5105,5336,7158,5809,ms
