Category,Metric,varianta_gradle_9_1_0 Mean,variantb_gradle_9_2_0-rc-1 Mean,varianta_gradle_9_1_0 P50,variantb_gradle_9_2_0-rc-1 P50,varianta_gradle_9_1_0 P90,variantb_gradle_9_2_0-rc-1 P90,Unit
Task Path,:feature:user-contact:kspDebugKotlin,3215,3307,3170,3283,3594,3703,ms
Task Path,:feature:user-contact:compileDebugKotlin,2434,2424,2445,2413,3070,2863,ms
Task Path,:feature:video:kspDebugKotlin,3430,3451,3352,3540,4175,3991,ms
Task Path,:feature:alarm:kspDebugKotlin,3456,3502,3430,3501,3973,4003,ms
Task Path,:feature:article:kspDebugKotlin,3239,3291,3292,3321,3798,3751,ms
Task Path,:feature:video:compileDebugKotlin,2050,2078,2006,2088,2414,2472,ms
Task Path,:feature:alarm:compileDebugKotlin,2127,2082,2132,2091,2545,2492,ms
Task Path,:feature:article:compileDebugKotlin,2006,1923,1941,1969,2451,2243,ms
Task Path,:feature:audio:kspDebugKotlin,3635,3567,3663,3436,4214,4642,ms
Task Path,:domain:account-contact:kspDebugKotlin,3514,3438,3444,3273,4503,4397,ms
Task Path,:feature:audio:compileDebugKotlin,2329,2417,2274,2361,3043,3152,ms
Task Path,:feature:checkout-contact:kspDebugKotlin,3373,3444,3401,3553,3944,4180,ms
Task Path,:domain:account-contact:compileDebugKotlin,2133,2104,2072,2059,2717,2909,ms
Task Path,:feature:document:kspDebugKotlin,3253,3380,3324,3297,3843,3984,ms
Task Path,:feature:file:kspDebugKotlin,3062,3131,3054,3134,3568,3716,ms
Task Path,:feature:checkout-contact:compileDebugKotlin,2045,1990,1982,1951,2631,2374,ms
Task Path,:feature:document:compileDebugKotlin,1985,1997,1954,1973,2602,2554,ms
Task Path,:feature:file:compileDebugKotlin,1752,1796,1665,1735,2184,2353,ms
Task Path,:feature:identity-contact:kspDebugKotlin,2911,3029,2897,3093,3300,3438,ms
Task Path,:feature:list:kspDebugKotlin,2797,2882,2713,2875,3231,3549,ms
Task Path,:feature:identity-contact:compileDebugKotlin,1655,1678,1574,1536,2063,2239,ms
Task Path,:feature:map:kspDebugKotlin,2767,2863,2726,2797,3260,3417,ms
Task Path,:feature:list:compileDebugKotlin,1634,1744,1635,1716,2012,2151,ms
Task Path,:feature:note:kspDebugKotlin,2756,2831,2672,2678,3322,3498,ms
Task Path,:feature:map:compileDebugKotlin,1511,1568,1475,1520,1803,1909,ms
Task Path,:feature:podcast:kspDebugKotlin,2773,2740,2679,2696,3276,3174,ms
Task Path,:feature:note:compileDebugKotlin,1898,1929,1856,1887,2554,2568,ms
Task Path,:feature:podcast:compileDebugKotlin,1863,2065,1823,2037,2332,2584,ms
Task Path,:feature:push-contact:kspDebugKotlin,3074,3059,2999,3046,3805,3532,ms
Task Path,:feature:weather:kspDebugKotlin,3191,3249,3189,3245,3791,3819,ms
Task Path,:domain:event-contact:kspDebugKotlin,3130,3268,3152,3312,3811,3911,ms
Task Path,:feature:push-contact:compileDebugKotlin,1953,2065,1903,2150,2615,2678,ms
Task Path,:feature:weather:compileDebugKotlin,1928,1982,1920,1933,2619,2505,ms
Task Path,:domain:event-contact:compileDebugKotlin,1796,1755,1805,1646,2275,2483,ms
Task Path,:domain:map-contact:kspDebugKotlin,2748,2986,2677,3003,3331,3556,ms
Task Path,:domain:alarm-contact:kspDebugKotlin,3344,3398,3324,3276,4140,4184,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,3184,3202,3131,3118,3851,4061,ms
Task Path,:domain:document-contact:kspDebugKotlin,3033,2971,2935,2947,3722,3422,ms
Task Path,:domain:calendar-contact:kspDebugKotlin,2927,2979,2831,2871,3575,3569,ms
Task Path,:domain:alarm-contact:compileDebugKotlin,2044,1985,2125,1934,2518,2429,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,2009,1959,1998,1950,2469,2391,ms
Task Path,:domain:document-contact:compileDebugKotlin,1784,1616,1718,1582,2201,1963,ms
Task Path,:domain:calendar-contact:compileDebugKotlin,1881,1765,1913,1718,2262,2067,ms
Task Path,:domain:file-contact:kspDebugKotlin,2838,2576,2883,2528,3748,3227,ms
Task Path,:domain:forecast-contact:kspDebugKotlin,2712,2552,2686,2564,3544,2992,ms
Task Path,:domain:group-contact:kspDebugKotlin,2781,2604,2711,2584,3379,3074,ms
Task Path,:domain:list-contact:kspDebugKotlin,2824,2658,2861,2628,3390,3155,ms
Task Path,:domain:file-contact:compileDebugKotlin,1706,1652,1619,1588,2062,2019,ms
Task Path,:domain:forecast-contact:compileDebugKotlin,1701,1654,1613,1609,2063,2061,ms
Task Path,:domain:group-contact:compileDebugKotlin,1833,1780,1845,1663,2201,2262,ms
Task Path,:domain:list-contact:compileDebugKotlin,1573,1651,1491,1569,2011,2072,ms
Task Path,:domain:map-contact:compileDebugKotlin,1712,1764,1692,1819,2113,2114,ms
Task Path,:domain:location-contact:kspDebugKotlin,2708,2787,2744,2800,3294,3278,ms
